74,"Government Boys Primary School JawanWala",Parhar,215010108,,,201,142,343,1,1,2
"",,Parhar,215010109,,,214,180,394,,,
"",,Parhar,215010110,,,184,171,355,,,
74 Total,,,,,,599,493,1092,1,1,2
75,"Government Boys Primary School Mochipura",Mouchi Pura,215010201,,,66,68,134,1,1,2
"",,Mouchi Pura,215010207,,,275,195,470,,,
"",,Mouchi Pura,215010208,,,228,217,445,,,
75 Total,,,,,,569,480,1049,1,1,2
76,"Government Girls Primary School Mochipura",Mouchi Pura,215010202,,,419,0,419,3,0,3
"",,Mouchi Pura,215010203,,,362,0,362,,,
"",,Mouchi Pura,215010204,,,551,0,551,,,
76 Total,,,,,,1332,0,1332,3,0,3
77,"Government Boys Primary School, FatehBela",Fateh Bela,215010205,,,328,278,606,1,1,2
"",,Sher Shah,215010206,,,238,188,426,,,
77 Total,,,,,,566,466,1032,1,1,2
78,Government Boys High School Pounta,Ponta,215010301,,,120,0,120,3,0,3
"",,Ponta,215010302,,,394,0,394,,,
"",,Ponta,215010308,,,94,0,94,,,
"",,Ponta,215010303,,,492,0,492,,,
"",,Ponta,215010304,,,329,0,329,,,
78 Total,,,,,,1429,0,1429,3,0,3
79,"Government Boys Primary SchoolTahirpur",Ponta,215010305,,,208,185,393,2,2,4
"",,Ponta,215010309,,,119,80,199,,,
"",,Ponta,215010306,,,323,288,611,,,
"",,Tahir Pur,215010307,,,257,152,409,,,
"",,Tahir Pur,215010310,,,166,134,300,,,
79 Total,,,,,,1073,839,1912,2,2,4
80,"Government Boys Middle School SomanQadeem",Soman,215010401,,,734,663,1397,2,2,4
"",,Soman,215010405,,,305,297,602,,,
80 Total,,,,,,1039,960,1999,2,2,4
81,Government Girls Primary School Soman,Soman,215010402,,,452,0,452,3,0,3
"",,Soman,215010403,,,422,0,422,,,
"",,Soman,215010404,,,198,0,198,,,
"",,Soman,215010406,,,344,0,344,,,
81 Total,,,,,,1416,0,1416,3,0,3
82,"Government Boys Primary School, KhairPur",Kher Pur,215010407,,,629,0,629,4,0,4
"",,Kher Pur,215010408,,,205,0,205,,,
"",,Kher Pur,215010409,,,123,0,123,,,
"",,Kher Pur,215010410,,,598,0,598,,,
"",,Kher Pur,215010411,,,307,0,307,,,
82 Total,,,,,,1862,0,1862,4,0,4
Kher Pur,215010407,,,0,493,493,,,,,
83,Pur,Kher Pur,215010409,,,0,142,142,0,3,3
"",Kher Pur,215010410,,,0,522,522,,,,
"",Kher Pur,215010411,,,0,263,263,,,,
83 Total,,,,,,0,1578,1578,0,3,3
84,"Government Boys High School, Toder Pur",Chaju Shah,215010501,,,420,0,420,3,0,3
"",Chaju Shah,215010502,,,465,0,465,,,,
"",Chaju Shah,215010503,,,306,0,306,,,,
"",Chaju Shah,215010504,,,418,0,418,,,,
84 Total,,,,,,1609,0,1609,3,0,3
85,"Government Girls Middle School, ToderPur",Chaju Shah,215010501,,,0,350,350,0,3,3
"",Chaju Shah,215010502,,,0,418,418,,,,
"",Chaju Shah,215010503,,,0,178,178,,,,
"",Chaju Shah,215010504,,,0,372,372,,,,
85 Total,,,,,,0,1318,1318,0,3,3
86,"Government Boys High School, Toder Pur",Toder Pur,215010505,,,300,0,300,2,0,2
"",Toder Pur,215010506,,,367,0,367,,,,
"",Toder Pur,215010507,,,388,0,388,,,,
"",Toder Pur,215010508,,,220,0,220,,,,
86 Total,,,,,,1275,0,1275,2,0,2
87,Basic Health Unit toder Pur,Toder Pur,215010505,,,0,188,188,0,4,4
"",Toder Pur,215010506,,,0,353,353,,,,
"",Toder Pur,215010507,,,0,306,306,,,,
"",Toder Pur,215010508,,,0,192,192,,,,
"",Toder Pur,215010509,,,0,252,252,,,,
"",Toder Pur,215010510,,,0,210,210,,,,
"",Toder Pur,215010511,,,0,444,444,,,,
87 Total,,,,,,0,1945,1945,0,4,4
88,Government High School Chak R.S,Chak R.S,215010601,,,764,0,764,2,0,2
"",Chak R.S,215010602,,,417,0,417,,,,
88 Total,,,,,,1181,0,1181,2,0,2
89,"Government Girls Middle School, ChakR.S",Chak R.S,215010601,,,0,683,683,0,2,2
"",Chak R.S,215010602,,,0,343,343,,,,
89 Total,,,,,,0,1026,1026,0,2,2
90,"Government High School, Chak R.S",Chak R.S,215010604,,,428,357,785,1,1,2
90 Total,,,,,,428,357,785,1,1,2
91,"Government High School, Chak R.S",Chak R.S,215010606,,,225,193,418,2,1,3
"",Chak R.S,215010607,,,441,380,821,,,,
91 Total,,,,,,666,573,1239,2,1,3
92,"Government Boys Primary SchoolSanghari",Sangheri,215010610,,,498,469,967,2,2,4
"",Sangheri,215010611,,,529,410,939,,,,
92 Total,,,,,,1027,879,1906,2,2,4
93,"Government Girls Primary School, KhanPur Qazi",Khan Pur,215020101,,,809,693,1502,2,2,4
93 Total,,,,,,809,693,1502,2,2,4
94,"Government Boys Middle School, KhanPur Qazi",Khan Pur,215020103,,,622,0,622,2,0,2
"",Khan Pur,215020104,,,657,0,657,,,,
94 Total,,,,,,1279,0,1279,2,0,2
95,"Government Boys Middle School, KhanPur Qazi",Khan Pur,215020103,,,0,537,537,0,2,2
"",Khan Pur,215020104,,,0,524,524,,,,
95 Total,,,,,,0,1061,1061,0,2,2
96,"Government Primary School Khan purQazian",Jai,215020105,,,308,335,643,2,2,4
Jai,215020106,,,714,595,1309,,,,,
97,"Government Primary School Sher Pur atJai",Jai,215020107,,,513,439,952,2,2,4
"",,Jai,215020108,,,286,304,590,,,
97 Total,,,,,,799,743,1542,2,2,4
98,"Government Primary School Daira PurNO.2",Daira Pur,215020201,,,297,253,550,2,1,3
"",,Daira Pur,215020202,,,403,365,768,,,
98 Total,,,,,,700,618,1318,2,1,3
99,"Government Boys Primary School DairaPur No. 1",Daira Pur,215020204,,,517,458,975,2,2,4
"",,Daira Pur,215020205,,,415,367,782,,,
99 Total,,,,,,932,825,1757,2,2,4
100,"Government Girls Primary School,Bagrain No. 2, Chah Naseer Bakhsh Wala",Daira Pur,215020206,,,594,468,1062,2,2,4
"",,Daira Pur,215020207,,,420,383,803,,,
100 Total,,,,,,1014,851,1865,2,2,4
101,"Government Boys Middle SchoolSakindar Abad Gharbi",Sikandar Abad West,215020301,,,207,0,207,4,0,4
"",,Sikandar Abad West,215020319,,,194,0,194,,,
"",,Sikandar Abad West,215020303,,,449,0,449,,,
"",,Sikandar Abad West,215020306,,,311,0,311,,,
"",,Sikandar Abad West,215020307,,,413,0,413,,,
"",,Sikandar Abad West,215020313,,,316,0,316,,,
101 Total,,,,,,1890,0,1890,4,0,4
102,"Government Boys High School SakindarAbad Gharbi",Sikandar Abad West,215020301,,,0,177,177,0,3,3
"",,Sikandar Abad West,215020319,,,0,150,150,,,
"",,Sikandar Abad West,215020303,,,0,383,383,,,
"",,Sikandar Abad West,215020306,,,0,309,309,,,
"",,Sikandar Abad West,215020307,,,0,310,310,,,
"",,Sikandar Abad West,215020313,,,0,306,306,,,
102 Total,,,,,,0,1635,1635,0,3,3
103,"Government Veterinary Hospital,Sikandabad",Sikandar Abad West,215020302,,,354,0,354,3,0,3
"",,Sikandar Abad West,215020320,,,196,0,196,,,
"",,Sikandar Abad West,215020304,,,427,0,427,,,
"",,Sikandar Abad West,215020305,,,270,0,270,,,
"",,Sikandar Abad West,215020308,,,364,0,364,,,
103 Total,,,,,,1611,0,1611,3,0,3
104,"Government Girls High School,Sikandabad Gharbi",Sikandar Abad West,215020302,,,0,270,270,0,3,3
"",,Sikandar Abad West,215020320,,,0,195,195,,,
"",,Sikandar Abad West,215020304,,,0,343,343,,,
"",,Sikandar Abad West,215020305,,,0,253,253,,,
"",,Sikandar Abad West,215020308,,,0,298,298,,,
104 Total,,,,,,0,1359,1359,0,3,3
105,"Government Boys Elementary School,Sikandarabad Gharbi",Sikandar Abad West,215020309,,,621,0,621,3,0,3
"",,Sikandar Abad West,215020310,,,344,0,344,,,
"",,Sikandar Abad West,215020311,,,423,0,423,,,
105 Total,,,,,,1388,0,1388,3,0,3
106,"Government Boys High School,Sikandarabad Gharbi",Sikandar Abad West,215020309,,,0,544,544,0,2,2
"",,Sikandar Abad West,215020310,,,0,303,303,,,
"",,Sikandar Abad West,215020311,,,0,375,375,,,
106 Total,,,,,,0,1222,1222,0,2,2
107,"Government Veterinary Hospital,Sikandabad",Sikandar Abad West,215020312,,,433,0,433,3,0,3
"",,Sikandar Abad West,215020314,,,490,0,490,,,
"",,Sikandar Abad West,215020315,,,467,0,467,,,
107 Total,,,,,,1390,0,1390,3,0,3
Sikandar Abad West,215020312,,,0,354,354,,,,,
Sikandar Abad West,215020314,,,0,445,445,,,,,
108 Total,,,,,,0,1206,1206,0,2,2
109,"Government Boys Primary School BastiJakhar",Sikandar Abad East,215020316,,,522,421,943,2,1,3
"",,Sikandar Abad East,215020321,,,246,227,473,,,
109 Total,,,,,,768,648,1416,2,1,3
110,"Government Primary School, JeendayWala",Sikandar Abad East,215020317,,,456,400,856,2,2,4
"",,Sikandar Abad East,215020318,,,618,480,1098,,,
110 Total,,,,,,1074,880,1954,2,2,4
111,"Government Boys Primary School MeranKhan",Chah Miran Khan,215020401,,,584,0,584,4,0,4
"",,Chah Miran Khan,215020402,,,444,0,444,,,
"",,Chah Miran Khan,215020403,,,447,0,447,,,
"",,Chah Miran Khan,215020404,,,356,0,356,,,
111 Total,,,,,,1831,0,1831,4,0,4
112,"Government Girls Comuntiy ModelSchool, Meran Khan",Chah Miran Khan,215020401,,,0,454,454,0,3,3
"",,Chah Miran Khan,215020402,,,0,318,318,,,
"",,Chah Miran Khan,215020403,,,0,350,350,,,
"",,Chah Miran Khan,215020404,,,0,291,291,,,
112 Total,,,,,,0,1413,1413,0,3,3
113,Government Boys High School Khujah,Khoja,215020501,,,653,548,1201,2,1,3
113 Total,,,,,,653,548,1201,2,1,3
114,Government Boys High School Khujah,Khoja,215020502,,,398,308,706,2,2,4
"",,Khoja,215020503,,,440,347,787,,,
"",,Khoja,215020509,,,349,278,627,,,
114 Total,,,,,,1187,933,2120,2,2,4
115,Government Boys High School Khujah,Khoja,215020504,,,451,358,809,1,1,2
115 Total,,,,,,451,358,809,1,1,2
116,"Government Girls Primary School, BastiKhuja",Khoja,215020505,,,649,513,1162,1,1,2
116 Total,,,,,,649,513,1162,1,1,2
117,"Government Boys Primary School, LutWala",Khoja,215020508,,,519,423,942,1,1,2
117 Total,,,,,,519,423,942,1,1,2
118,"Government Boys Elementary SchoolRailway Station Shujabad",Gajju Hatta,215030101,,,590,508,1098,2,2,4
"",,Gajju Hatta,215030112,,,412,385,797,,,
118 Total,,,,,,1002,893,1895,2,2,4
119,Union Council Office Gajju Hatta,Gajju Hatta,215030102,,,554,490,1044,2,2,4
"",,Gajju Hatta,215030113,,,362,291,653,,,
119 Total,,,,,,916,781,1697,2,2,4
120,"Government Girls Primary School, ChishtiWala",Gajju Hatta,215030103,,,842,724,1566,2,2,4
120 Total,,,,,,842,724,1566,2,2,4
121,"Government Boys Middle School GajjuHatta",Gajju Hatta,215030104,,,369,370,739,2,2,4
"",,Gajju Hatta,215030105,,,447,320,767,,,
121 Total,,,,,,816,690,1506,2,2,4
122,"Government Boys Middle School GajjuHatta",Gajju Hatta,215030106,,,626,551,1177,1,1,2
122 Total,,,,,,626,551,1177,1,1,2
123,"Government Girls Primary School MazoorAbad No.1",Gajju Hatta,215030107,,,224,0,224,3,0,3
Gajju Hatta,215030108,,,406,0,406,,,,,
Gajju Hatta,215030109,,,802,0,802,,,,,
123 Total,,,,,,1432,0,1432,3,0,3
"",Wala,Gajju Hatta,215030111,,,658,542,1200,,,
124 Total,,,,,,868,755,1623,2,2,4
125,Union Council Office Mahra,Mahara,215030201,,,441,394,835,1,1,2
"",,Mahara,215030202,,,105,88,193,,,
125 Total,,,,,,546,482,1028,1,1,2
126,Government Boys High School Vains,Agar Khani,215030203,,,322,278,600,1,1,2
"",,Agar Khani,215030204,,,325,308,633,,,
126 Total,,,,,,647,586,1233,1,1,2
127,"Government Boys High School, Vains",Vains,215030207,,,626,484,1110,2,2,4
"",,Vains,215030208,,,206,229,435,,,
127 Total,,,,,,832,713,1545,2,2,4
128,"Government Boys Primary Shamas Ul Dinwala",Dhundhu,215030301,,,551,478,1029,2,1,3
"",,Dhundhu,215030302,,,171,105,276,,,
128 Total,,,,,,722,583,1305,2,1,3
129,"Government Boys Primary School BhobatWala",Dhundhu,215030303,,,555,490,1045,2,2,4
"",,Dhundhu,215030304,,,439,336,775,,,
129 Total,,,,,,994,826,1820,2,2,4
130,"Government Girls Primary School BangalaGundo Sharif",Bangala,215030307,,,929,778,1707,2,2,4
130 Total,,,,,,929,778,1707,2,2,4
131,"Government Boys Primary School SheikhPur Drig",Gardez Pur,215030401,,,432,380,812,2,2,4
"",,Gardez Pur,215030411,,,169,182,351,,,
"",,Gardez Pur,215030402,,,439,312,751,,,
131 Total,,,,,,1040,874,1914,2,2,4
132,"Government Girls Elementary SchoolBangala",Gardez Pur,215030403,,,630,502,1132,2,1,3
"",,Gardez Pur,215030404,,,177,125,302,,,
132 Total,,,,,,807,627,1434,2,1,3
133,Government Boys High School Bangala,Gardez Pur,215030405,,,367,381,748,2,2,4
"",,Gardez Pur,215030406,,,335,231,566,,,
"",,Gardez Pur,215030412,,,151,148,299,,,
133 Total,,,,,,853,760,1613,2,2,4
134,"Government Boys Primary School SheikhPur Drig",Gardez Pur,215030409,,,680,549,1229,2,2,4
"",,Sheikh Pur Dirg,215030410,,,261,228,489,,,
134 Total,,,,,,941,777,1718,2,2,4
135,Government Boys High School Bagrain,Bagrain,215030501,,,342,0,342,4,0,4
"",,Bagrain,215030512,,,184,0,184,,,
"",,Bagrain,215030502,,,464,0,464,,,
"",,Bagrain,215030503,,,195,0,195,,,
"",,Bagrain,215030513,,,594,0,594,,,
135 Total,,,,,,1779,0,1779,4,0,4
136,"Government Girls Elementary SchoolBagrain",Bagrain,215030501,,,0,266,266,0,3,3
"",,Bagrain,215030512,,,0,158,158,,,
"",,Bagrain,215030502,,,0,422,422,,,
"",,Bagrain,215030503,,,0,139,139,,,
"",,Bagrain,215030513,,,0,499,499,,,
136 Total,,,,,,0,1484,1484,0,3,3
137,Government Primary School Peer Ghaib,Halal Wajah,215030504,,,699,602,1301,2,2,4
"",,Halal Wajah,215030505,,,248,216,464,,,
137 Total,,,,,,947,818,1765,2,2,4
138,"Government Girls Primary School HassanAbad",Halal Wajah,215030506,,,502,457,959,2,2,4
"",,Halal Wajah,215030507,,,295,253,548,,,
138 Total,,,,,,797,710,1507,2,2,4
"",Muhammad Wala,Halal Wajah,215030514,,,315,222,537,,,
139 Total,,,,,,620,493,1113,1,1,2
140,"Government Girls Primary School ChotainSharif",Ghous Pur,215030509,,,18,18,36,1,1,2
"",,Chotay Shareef,215030510,,,312,273,585,,,
"",,Saat Burji,215030511,,,286,207,493,,,
140 Total,,,,,,616,498,1114,1,1,2
141,"Government Boys Primary School, AmanUllah Pur",Bhana,215030601,,,298,0,298,4,0,4
"",,Bhana,215030609,,,140,0,140,,,
"",,Bhana,215030602,,,180,0,180,,,
"",,Bhana,215030610,,,300,0,300,,,
"",,Bhana,215030603,,,168,0,168,,,
"",,Bhana,215030611,,,263,0,263,,,
"",,Aman Ullah Khan,215030608,,,451,0,451,,,
141 Total,,,,,,1800,0,1800,4,0,4
142,"Government Girls Primary School, AmanUllah Pur",Bhana,215030601,,,0,302,302,0,3,3
"",,Bhana,215030609,,,0,103,103,,,
"",,Bhana,215030602,,,0,204,204,,,
"",,Bhana,215030610,,,0,275,275,,,
"",,Bhana,215030603,,,0,148,148,,,
"",,Bhana,215030611,,,0,220,220,,,
"",,Aman Ullah Khan,215030608,,,0,424,424,,,
142 Total,,,,,,0,1676,1676,0,3,3
143,Government Boys Primary School Jhangi,Jhanghi,215030604,,,558,482,1040,2,2,4
"",,Jhanghi,215030605,,,325,272,597,,,
143 Total,,,,,,883,754,1637,2,2,4
144,"Government Boys Primary School,Bagrain",Jhanghi,215030606,,,680,0,680,2,0,2
"",,Jhanghi,215030612,,,263,0,263,,,
"",,Jhanghi,215030607,,,308,0,308,,,
144 Total,,,,,,1251,0,1251,2,0,2
145,"Government Boys Primary School RukanHatti",Rukan Hatti,215030701,,,426,0,426,2,0,2
"",,Rukan Hatti,215030705,,,508,0,508,,,
"",,Rukan Hatti,215030706,,,155,0,155,,,
145 Total,,,,,,1089,0,1089,2,0,2
146,"Government Girls Middle School RukanHatti",Rukan Hatti,215030701,,,0,330,330,0,2,2
"",,Rukan Hatti,215030705,,,0,391,391,,,
"",,Rukan Hatti,215030706,,,0,104,104,,,
146 Total,,,,,,0,825,825,0,2,2
147,"Government Girls Middle School AgarKhani Merhram Basti",Rukan Hatti,215030702,,,807,0,807,3,0,3
"",,Rukan Hatti,215030703,,,298,0,298,,,
"",,Rukan Hatti,215030704,,,305,0,305,,,
147 Total,,,,,,1410,0,1410,3,0,3
148,"Government Boys Primary SchoolQurashi Wala",Rukan Hatti,215030707,,,432,338,770,2,2,4
"",,Rukan Hatti,215030708,,,553,466,1019,,,
148 Total,,,,,,985,804,1789,2,2,4
149,"Government Boys Primary SchoolQurashi Wala",Rukan Hatti,215030709,,,572,476,1048,1,1,2
149 Total,,,,,,572,476,1048,1,1,2
150,"Government Boys Primary School WahiRuki",Wahi Rukki,215030801,,,342,282,624,1,1,2
"",,Wahi Rukki,215030802,,,219,215,434,,,
150 Total,,,,,,561,497,1058,1,1,2
151,"Government Boys Primary School Shahpur Ubbah",Shah Pur Ubah,215030804,,,572,505,1077,1,1,2
152,"Government Boys Middle School, ShahPur Ubah",Shah Pur Ubah,215030807,,,297,0,297,2,0,2
"",,Shah Pur Ubah,215030808,,,254,0,254,,,
"",,Shah Pur Ubah,215030809,,,216,0,216,,,
"",,Shah Pur Ubah,215030813,,,228,0,228,,,
152 Total,,,,,,995,0,995,2,0,2
153,"Government Girls Middle School, ShahPur Ubah",Shah Pur Ubah,215030807,,,0,230,230,0,3,3
"",,Shah Pur Ubah,215030808,,,0,195,195,,,
"",,Shah Pur Ubah,215030809,,,0,139,139,,,
"",,Shah Pur Ubah,215030810,,,0,252,252,,,
"",,Shah Pur Ubah,215030811,,,0,231,231,,,
"",,Shah Pur Ubah,215030812,,,0,291,291,,,
"",,Shah Pur Ubah,215030822,,,0,165,165,,,
"",,Shah Pur Ubah,215030813,,,0,178,178,,,
153 Total,,,,,,0,1681,1681,0,3,3
154,"Government Girls Primary School KhalilWala",Shah Pur Ubah,215030814,,,424,372,796,1,1,2
154 Total,,,,,,424,372,796,1,1,2
155,"Government Girls Primary School, WahiBhakar",Shah Pur Ubah,215030815,,,488,0,488,2,0,2
"",,Shah Pur Ubah,215030816,,,660,0,660,,,
155 Total,,,,,,1148,0,1148,2,0,2
156,"Government Elementary School ChakSardar pur",Shah Pur Ubah,215030818,,,443,348,791,2,1,3
"",,Shah Pur Ubah,215030819,,,336,276,612,,,
156 Total,,,,,,779,624,1403,2,1,3
157,"Government Elementary School ChakSardar pur",Shah Pur Ubah,215030820,,,740,0,740,3,0,3
"",,Shah Pur Ubah,215030821,,,839,0,839,,,
157 Total,,,,,,1579,0,1579,3,0,3
158,"Government Boys Primary School, NaseerKhan Wala",Raja Ram,215040101,,,180,177,357,2,2,4
"",,Raja Ram,215040102,,,535,401,936,,,
"",,Raja Ram,215040103,,,327,213,540,,,
158 Total,,,,,,1042,791,1833,2,2,4
159,Government Boys High School Raja Ram,Raja Ram,215040104,,,428,0,428,3,0,3
"",,Raja Ram,215040105,,,476,0,476,,,
"",,Raja Ram,215040106,,,346,0,346,,,
"",,Raja Ram,215040107,,,304,0,304,,,
159 Total,,,,,,1554,0,1554,3,0,3
160,Government Girls High School Raja Ram,Raja Ram,215040104,,,0,348,348,0,3,3
"",,Raja Ram,215040105,,,0,415,415,,,
"",,Raja Ram,215040106,,,0,333,333,,,
"",,Raja Ram,215040107,,,0,245,245,,,
160 Total,,,,,,0,1341,1341,0,3,3
161,"Government Boys Primary School,Ibrahim Wala",Basti Dad,215040801,,,307,216,523,2,1,3
"",,Basti Dad,215040802,,,378,297,675,,,
161 Total,,,,,,685,513,1198,2,1,3
162,"Government Girls Primary School BastiDad",Basti Dad,215040803,,,282,235,517,2,2,4
"",,Basti Dad,215040806,,,325,238,563,,,
"",,Basti Dad,215040807,,,265,183,448,,,
162 Total,,,,,,872,656,1528,2,2,4
163,"Government Boys Primary School BastiDad",Basti Dad,215040804,,,266,242,508,2,2,4
"",,Basti Dad,215040805,,,242,197,439,,,
"",,Khaler,215040808,,,278,211,489,,,
163 Total,,,,,,786,650,1436,2,2,4
Mubarak Pur,213080101,,,659,0,659,,,,,
164,Rest House Mubbarak Pur M-F,Mubarak Pur,213080103,,,88,0,88,3,0,3
"",Mubarak Pur,213080110,,,515,0,515,,,,
"",Keryal Singh Wala,213080109,,,109,0,109,,,,
164 Total,,,,,,1563,0,1563,3,0,3
165,Rest House Mubbarak Pur M-F,Mubarak Pur,213080101,,,0,504,504,0,2,2
"",Mubarak Pur,213080102,,,0,212,212,,,,
"",Mubarak Pur,213080103,,,0,80,80,,,,
"",Mubarak Pur,213080110,,,0,378,378,,,,
"",Keryal Singh Wala,213080109,,,0,92,92,,,,
165 Total,,,,,,0,1266,1266,0,2,2
166,"Government Girls Elementary SchoolMubbarak Pur",Mubarak Pur,213080104,,,446,0,446,3,0,3
"",Mubarak Pur,213080105,,,414,0,414,,,,
"",Mubarak Pur,213080106,,,504,0,504,,,,
166 Total,,,,,,1364,0,1364,3,0,3
167,"Government Girls Elementary SchoolMubbarak Pu",Mubarak Pur,213080104,,,0,349,349,0,4,4
"",Mubarak Pur,213080105,,,0,401,401,,,,
"",Mubarak Pur,213080106,,,0,417,417,,,,
"",Mubarak Pur,213080107,,,0,518,518,,,,
"",Mubarak Pur,213080108,,,0,181,181,,,,
167 Total,,,,,,0,1866,1866,0,4,4
168,"Government Girls Primary SchoolTarraghar",Trager,213080201,,,312,236,548,2,2,4
"",Trager,213080202,,,394,253,647,,,,
"",Chak No. 10/F,213080502,,,324,265,589,,,,
168 Total,,,,,,1030,754,1784,2,2,4
169,"Government Girls Primary SchoolTarraghar",Trager,213080203,,,615,486,1101,1,1,2
169 Total,,,,,,615,486,1101,1,1,2
170,"Basic Health Unit,Tarraghar",Trager,213080205,,,368,302,670,2,2,4
"",Trager,213080206,,,440,374,814,,,,
170 Total,,,,,,808,676,1484,2,2,4
171,"Basic Health Unit,Tarraghar",Trager,213080207,,,660,512,1172,2,2,4
"",Trager,213080208,,,302,221,523,,,,
171 Total,,,,,,962,733,1695,2,2,4
172,"Government Boys High School, Tarraghar",Trager,213080209,,,317,247,564,1,1,2
"",Trager,213080210,,,173,132,305,,,,
172 Total,,,,,,490,379,869,1,1,2
173,Government High School Qadir Pur Lar,Qadir Pur Lar,213080301,,,824,0,824,4,0,4
"",Qadir Pur Lar,213080302,,,532,0,532,,,,
"",Qadir Pur Lar,213080303,,,529,0,529,,,,
"",Qadir Pur Lar,213080304,,,414,0,414,,,,
173 Total,,,,,,2299,0,2299,4,0,4
174,Government High School Qadir Pur Lar,Qadir Pur Lar,213080301,,,0,562,562,0,4,4
"",Qadir Pur Lar,213080302,,,0,380,380,,,,
"",Qadir Pur Lar,213080303,,,0,421,421,,,,
"",Qadir Pur Lar,213080304,,,0,341,341,,,,
174 Total,,,,,,0,1704,1704,0,4,4
175,Government High School Qadir pur Lar,Qadir Pur Lar,213080305,,,297,279,576,2,1,3
"",Qadir Pur Lar,213080306,,,322,284,606,,,,
"",Qadir Pur Lar,213080314,,,141,59,200,,,,
175 Total,,,,,,760,622,1382,2,1,3
176,"Government Boys Primary School PeerTannu",Peer Tenhu,213080309,,,539,0,539,2,0,2
Peer Tenhu,213080310,,,507,0,507,,,,,
177,"Government Girls Elementary SchoolPeer Tannu",Peer Tenhu,213080309,,,0,400,400,0,3,3
"",,Peer Tenhu,213080310,,,0,328,328,,,
"",,Peer Tenhu,213080311,,,0,274,274,,,
"",,Peer Tenhu,213080312,,,0,166,166,,,
"",,Peer Tenhu,213080313,,,0,380,380,,,
177 Total,,,,,,0,1548,1548,0,3,3
178,"Government High School Momin AbadKirar Wala",Rana Wahin,213080401,,,657,0,657,3,0,3
"",,Rana Wahin,213080402,,,474,0,474,,,
"",,Rana Wahin,213080403,,,538,0,538,,,
178 Total,,,,,,1669,0,1669,3,0,3
179,"Government High School Momin Abad,Kirar Wala",Rana Wahin,213080401,,,0,486,486,0,2,2
"",,Rana Wahin,213080402,,,0,395,395,,,
"",,Rana Wahin,213080403,,,0,371,371,,,
179 Total,,,,,,0,1252,1252,0,2,2
180,"Government Boys High School, Lal Pur",Rana Wahin,213080404,,,570,0,570,4,0,4
"",,Rana Wahin,213080405,,,378,0,378,,,
"",,Rana Wahin,213080406,,,636,0,636,,,
"",,Rana Wahin,213080407,,,383,0,383,,,
"",,Rana Wahin,213080408,,,210,0,210,,,
180 Total,,,,,,2177,0,2177,4,0,4
181,Rest House Rana Wahin,Rana Wahin,213080404,,,0,425,425,0,3,3
"",,Rana Wahin,213080405,,,0,271,271,,,
"",,Rana Wahin,213080406,,,0,443,443,,,
"",,Rana Wahin,213080407,,,0,321,321,,,
"",,Rana Wahin,213080408,,,0,212,212,,,
181 Total,,,,,,0,1672,1672,0,3,3
182,"Government Girls High School ChakNo.5/F",Jahan Pur,213080501,,,789,0,789,3,0,3
"",,Chak No. 5/F,213080505,,,839,0,839,,,
182 Total,,,,,,1628,0,1628,3,0,3
183,"Government Girls High School ChakNo.5/F",Jahan Pur,213080501,,,0,655,655,0,3,3
"",,Chak No. 5/F,213080505,,,0,662,662,,,
183 Total,,,,,,0,1317,1317,0,3,3
184,"Government Girls Primary School Chak5/F",Chak No. 5/F,213080503,,,315,249,564,2,1,3
"",,Chak No. 5/F,213080504,,,407,316,723,,,
184 Total,,,,,,722,565,1287,2,1,3
185,Government Boys High School Chak 4/F,Chak No. 4/F,213080506,,,500,0,500,3,0,3
"",,Chak No. 4/F,213080507,,,584,0,584,,,
"",,Chak No. 4/F,213080508,,,599,0,599,,,
185 Total,,,,,,1683,0,1683,3,0,3
186,"Government Girls Elementary SchoolChak 4/F",Chak No. 4/F,213080506,,,0,385,385,0,3,3
"",,Chak No. 4/F,213080507,,,0,446,446,,,
"",,Chak No. 4/F,213080508,,,0,519,519,,,
186 Total,,,,,,0,1350,1350,0,3,3
187,Government Girls Primary School 9/Faiz,Chak No. 9/F,213080509,,,380,353,733,2,2,4
"",,Chak No. 9/F,213080510,,,577,468,1045,,,
187 Total,,,,,,957,821,1778,2,2,4
188,Government Girls Primary School 9/Faiz,Chak No. 9/F,213080511,,,357,279,636,2,1,3
"",,Chak No. 9/F,213080512,,,327,256,583,,,
188 Total,,,,,,684,535,1219,2,1,3
189,"Government Boys Middle School Chak11/F",Chak No. 11/F,213080701,,,443,344,787,2,2,4
Chak No. 11/F,213080702,,,360,250,610,,,,,
Chak No. 11/F,213080703,,,439,349,788,,,,,
190,"Government High School Basti Malook11/F",Wahi Kotha Ram,213080704,,,512,415,927,2,2,4
"",,Chak No. 12/F,213080721,,,473,414,887,,,
190 Total,,,,,,985,829,1814,2,2,4
191,"Government Girls Primary School KaramJind Wala",Pelyia Kharana,213080705,,,332,0,332,3,0,3
"",,Pelyia Kharana,213080706,,,308,0,308,,,
"",,Pelyia Kharana,213080722,,,102,0,102,,,
"",,Pelyia Kharana,213080707,,,283,0,283,,,
"",,Pelyia Kharana,213080708,,,264,0,264,,,
"",,Noor Wala Shumali,213080709,,,63,0,63,,,
191 Total,,,,,,1352,0,1352,3,0,3
192,"Government Girls Primary School KaramJind Wala",Pelyia Kharana,213080705,,,0,282,282,0,2,2
"",,Pelyia Kharana,213080706,,,0,217,217,,,
"",,Pelyia Kharana,213080722,,,0,124,124,,,
