Sr. No,No. and name of polling Station,In case of rural areas,In case of urban areas,"Serial No. ofvoterson theelectoral roll incase electoralarea isbifurcated","Number of voters assigned topolling station","Number of pollingbooths",,,,,,
64,"Govt Model Elementary School , Sikandari Kharrak(Naseer Uddin Wahin) Part-II(P)",Naseer Uddin Wahin,218011103,,,,391,291,682,2,1,3
"",,Naseer Uddin Wahin,218011104,,,,329,260,589,,,
Total,,,,,,,720,551,1271,2,1,3
65,"Govt Boys Primary School , Naseerudin Wahin CheelWala(P)",Naseer Uddin Wahin,218011105,,,,352,239,591,2,1,3
"",,Naseer Uddin Wahin,218011106,,,,461,321,782,,,
Total,,,,,,,813,560,1373,2,1,3
66,"Govt Girls  Primary School, Naseerudin Wahin at KootoWala(P)",Naseer Uddin Wahin,218011107,,,,248,123,371,1,1,2
"",,Naseer Uddin Wahin,218011108,,,,384,263,647,,,
Total,,,,,,,632,386,1018,1,1,2
67,"Govt Boys High School , Jhanbi Wahin Part-I Male(P)",jhanbi Wahin,218010801,,,,588,0,588,3,0,3
"",,jhanbi Wahin,218010802,,,,245,0,245,,,
"",,jhanbi Wahin,218010803,,,,511,0,511,,,
Total,,,,,,,1344,0,1344,3,0,3
68,"Govt Boys High School , Jhanbi Wahin Part-II Female(P)",jhanbi Wahin,218010801,,,,0,497,497,0,2,2
"",,jhanbi Wahin,218010802,,,,0,196,196,,,
"",,jhanbi Wahin,218010803,,,,0,361,361,,,
Total,,,,,,,0,1054,1054,0,2,2
69,"Govt Boys Primary School , Ain Wain Part-I (P)",Ain Wahin,218010804,,,,549,404,953,1,1,2
Total,,,,,,,549,404,953,1,1,2
70,"Govt Boys Primary School , Ain Wain Part-II (P)",Ain Wahin,218010805,,,,254,190,444,2,1,3
"",,Kotla Murrad Ali,218010904,,,,431,321,752,,,
Total,,,,,,,685,511,1196,2,1,3
71,"Govt Girls  Primary School , Basti Nala at JhokeAaheer.(P)",Bakhri,218010704,,,,649,459,1108,2,2,4
"",,Bakhri,218010705,,,,49,39,88,,,
"",,Jhook Aheer,218010706,,,,269,184,453,,,
Total,,,,,,,967,682,1649,2,2,4
72,"Govt Boys Primary School , Peer Sukha(P)",Jass,218010710,,,,626,472,1098,2,2,4
"",,Jass,218010711,,,,494,329,823,,,
Total,,,,,,,1120,801,1921,2,2,4
73,"Govt Girls  Primary School , Khan da Khoo.(P)",Jass,218010712,,,,435,355,790,1,1,2
"",,Jass,218010713,,,,193,133,326,,,
Total,,,,,,,628,488,1116,1,1,2
74,"Basic Health Unit , Shahpur Phull.(P)",Shah Pur Phul,218010701,,,,548,473,1021,1,1,2
Total,,,,,,,548,473,1021,1,1,2
75,"Govt Girls Elementary Model School , Shahpur phull(P)",Shah Pur Phul,218010702,,,,294,237,531,1,1,2
"",,Shah Pur Phul,218010703,,,,318,182,500,,,
Total,,,,,,,612,419,1031,1,1,2
76,Govt Girls Primary School Goal.(P),Goal,218010707,,,,495,359,854,2,1,3
"",,Goal,218010708,,,,358,267,625,,,
Total,,,,,,,853,626,1479,2,1,3
77,"Govt Girls  Primary School , Basti Saidan.(P)",Goal,218010709,,,,451,334,785,1,1,2
Total,,,,,,,451,334,785,1,1,2
78,"Govt. Boys Primary School, Muhammad Pur at QadirpurDhakku (P)",Qadir Pur Dhakoo,218010609,,,,420,320,740,2,2,4
"",,Qadir Pur Dhakoo,218010610,,,,638,493,1131,,,
Total,,,,,,,1058,813,1871,2,2,4
79,"Govt Boys Primary School, Basti Mud at Tibbi WaddanPart-I (P)",Tibbi Wadan,218010604,,,,477,347,824,2,1,3
"",,Tibbi Wadan,218010605,,,,265,162,427,,,
Total,,,,,,,742,509,1251,2,1,3
80,"Govt Boys Primary School , Basti Mud at Tibbi WaddanPart-II (P)",Tibbi Wadan,218010606,,,,361,248,609,1,1,2
"",,Tibbi Wadan,218010607,,,,150,80,230,,,
"",,Tibbi Wadan,218010608,,,,8,3,11,,,
Total,,,,,,,519,331,850,1,1,2
81,"Govt Boys Elementary School , Seekar(P)",Seekar,218010601,,,,293,237,530,1,1,2
"",,Seekar,218010602,,,,382,267,649,,,
"",,Seekar,218010603,,,,98,66,164,,,
Total,,,,,,,773,570,1343,1,1,2
82,"Govt Girls  Primary School , Tibba Raher at DurajianWala (P)",Tibba Rahar,218010510,,,,577,488,1065,1,1,2
Total,,,,,,,577,488,1065,1,1,2
83,"Govt Boys Model Primary School, Ismail Pur Part-I (P)",Ismail Pur,218010501,,,,403,303,706,2,1,3
"",,Ismail Pur,218010502,,,,345,249,594,,,
Total,,,,,,,748,552,1300,2,1,3
84,"Govt Boys Model Primary School, Ismail Pur Part-II (P)",Ismail Pur,218010503,,,,544,445,989,1,1,2
Total,,,,,,,544,445,989,1,1,2
85,"Govt Girls  Model Primary School, Ismail Pur (P)",Ismail Pur,218010504,,,,550,399,949,1,1,2
Total,,,,,,,550,399,949,1,1,2
86,"Govt Girls  Primary School, Sarai. No.1 Part-I (P)",Sarai,218010505,,,,251,0,251,3,0,3
"",,Sarai,218010506,,,,467,0,467,,,
"",,Sarai,218010507,,,,581,0,581,,,
Total,,,,,,,1299,0,1299,3,0,3
87,"Govt Girls  Primary School, Sarai. No.1 Part-II (P)",Sarai,218010508,,,,668,506,1174,2,2,4
"",,Sarai,218010509,,,,257,184,441,,,
Total,,,,,,,925,690,1615,2,2,4
Sarai,218010505,,,,0,210,210,0,2,2,,
"",,Sarai,218010507,,,,0,405,405,,,
Total,,,,,,,0,956,956,0,2,2
89,"Govt Elementary School, Hasil wala at Pai Wagna(P)",Pai Wagna,218010902,,,,479,386,865,2,2,4
"",,Pai Wagna,218010903,,,,473,357,830,,,
Total,,,,,,,952,743,1695,2,2,4
90,"Basic Health Unit , Nawaz Abad  (Dakhna Gharoo) Part-I(P)",Dakhna Gharoo,218030101,,,,322,261,583,2,1,3
"",,Dakhna Gharoo,218030102,,,,369,276,645,,,
Total,,,,,,,691,537,1228,2,1,3
91,"Basic Health Unit , Nawaz Abad  (Dakhna Gharoo) Part-II (P)",Dakhna Gharoo,218030103,,,,701,563,1264,2,1,3
Total,,,,,,,701,563,1264,2,1,3
92,"Govt. Girls  Primary School , Basti Gharoo at GhaniWala.(P)",Dakhna Gharoo,218030104,,,,314,258,572,1,1,2
"",,Dakhna Gharoo,218030105,,,,377,321,698,,,
Total,,,,,,,691,579,1270,1,1,2
93,"Govt Girls High School, Nathay Wala.(P)",Dakhna Gharoo,218030106,,,,108,72,180,1,1,2
"",,Dakhna Gharoo,218030108,,,,384,311,695,,,
Total,,,,,,,492,383,875,1,1,2
94,"Govt Girls  Primary School, Peer Da Killa.(P)",Dakhna Gharoo,218030107,,,,886,600,1486,2,1,3
Total,,,,,,,886,600,1486,2,1,3
95,"Govt Girls  Primary School , Basti Khudai.(P)",Dakhna Gharoo,218030109,,,,385,259,644,1,1,2
Total,,,,,,,385,259,644,1,1,2
96,"Govt Girls  Primary School, Shah Abu Tahir at MachiWagha.(P)",Machi Wahgah,218031201,,,,348,304,652,1,1,2
Total,,,,,,,348,304,652,1,1,2
97,"Govt Girls  Primary School, Wahind Sarmani at JindPeer.(P)",Wahind Sarmani,218031203,,,,756,506,1262,1,1,2
Total,,,,,,,756,506,1262,1,1,2
98,"Govt Boys Primary School, Wahind Sarmani at BapperWala Part-I. (P)",Wahind Sarmani,218031204,,,,725,546,1271,2,1,3
Total,,,,,,,725,546,1271,2,1,3
99,"Govt Boys Primary School, Wahind Sarmani at BapperWala Part-II. (P)",Wahind Sarmani,218031205,,,,390,299,689,1,1,2
Total,,,,,,,390,299,689,1,1,2
100,"Govt Boys Primary School, Wigha Mal.(P)",Wigha Mal,218030703,,,,570,468,1038,2,1,3
"",,Wigha Mal,218030704,,,,387,283,670,,,
Total,,,,,,,957,751,1708,2,1,3
101,"Govt Girls  High School, Tibbi Waddan at Wigha Mal.(P)",Mochi Wali,218030701,,,,331,254,585,2,1,3
"",,Mochi Wali,218030702,,,,440,379,819,,,
Total,,,,,,,771,633,1404,2,1,3
102,"Govt Primary School, dera Mehro. Part-I (P)",Dera Mehroo,218030207,,,,257,216,473,2,1,3
"",,Dera Mehroo,218030208,,,,363,320,683,,,
Total,,,,,,,620,536,1156,2,1,3
103,"Govt Primary School, dera Mehro. Part-II (P)",Dera Delawar,218030209,,,,472,324,796,1,1,2
Total,,,,,,,472,324,796,1,1,2
104,"Govt Boys High School, Massa Kotha. Part-I (P)",Massa Kotha,218030201,,,,324,232,556,1,1,2
"",,Massa Kotha,218030202,,,,403,341,744,,,
Total,,,,,,,727,573,1300,1,1,2
105,"Govt Girls High School, Massa Kotha.(P)",Massa Kotha,218030203,,,,206,146,352,2,2,4
"",,Massa Kotha,218030204,,,,189,156,345,,,
"",,Massa Kotha,218030205,,,,508,408,916,,,
Total,,,,,,,903,710,1613,2,2,4
106,"Govt Boys High School, Massa kotha Part-II (P)",Massa Kotha,218030206,,,,586,502,1088,1,1,2
Total,,,,,,,586,502,1088,1,1,2
107,Govt. primary School Raana Wahin,Rana Wahin,218031301,,,,1421,0,1421,4,0,4
"",,Rana Wahin,218031302,,,,495,0,495,,,
Total,,,,,,,1916,0,1916,4,0,4
108,"Govt Boys Primary School , Rana Wahin,(P)",Rana Wahin,218031301,,,,0,1191,1191,0,3,3
Total,,,,,,,0,1191,1191,0,3,3
109,"Govt Girls  Elementary School, Chah Charhoi Wala atRana Wahin. Female(P)",Mushraf Wahin,218031303,,,,178,163,341,1,1,2
"",,Rana Wahin,218031302,,,,495,411,906,,,
Total,,,,,,,673,574,1247,1,1,2
110,"Govt Boys Primary School, Miran Pur Male(P)",Bela Wahgha,218031304,,,,343,0,343,2,0,2
"",,Bela Wahgha,218031305,,,,50,0,50,,,
"",,Bela Wahgha,218031306,,,,722,0,722,,,
Total,,,,,,,1115,0,1115,2,0,2
111,"Govt Boys Primary School, Bela Wagha Female(P)",Bela Wahgha,218031304,,,,0,295,295,0,2,2
"",,Bela Wahgha,218031305,,,,0,53,53,,,
"",,Bela Wahgha,218031306,,,,0,525,525,,,
Total,,,,,,,0,873,873,0,2,2
112,"Govt Boys Primary School, Zirak Wahin.(P)",Zirak Wahin,218031001,,,,347,247,594,1,1,2
"",,Zirak Wahin,218031002,,,,392,325,717,,,
Total,,,,,,,739,572,1311,1,1,2
113,"Govt Boys Primary School, Basti Mehmood at (BastiShapta)(P)",Dera Lala,218031003,,,,370,278,648,2,2,4
"",,Basti Jalal,218031004,,,,251,202,453,,,
"",,Gull  pur,218031006,,,,56,41,97,,,
"",,Hassa Joyia,218031005,,,,79,62,141,,,
"",,Kot Kora Jhanda,218031007,,,,185,146,331,,,
Total,,,,,,,941,729,1670,2,2,4
114,"Govt Girls  Primary School, Kund Ahmed Asar(P)",Chak Qadirpur,218030806,,,,382,276,658,2,1,3
"",,Jamal pur,218030609,,,,293,205,498,,,
"",,Kund Ahmed Asar,218030608,,,,134,88,222,,,
Total,,,,,,,809,569,1378,2,1,3
115,"Govt Boys High School, Qadir Pur Chimna. PrimaryPortion (P)",Qadir Pur Chimna,218030601,,,,267,210,477,1,1,2
"",,Qadir Pur Chimna,218030602,,,,303,235,538,,,
Total,,,,,,,570,445,1015,1,1,2
116,"Govt Boys High School, Qadir Pur Chimna.Part-I(P)",Bahar,218030610,,,,103,74,177,2,2,4
"",,Qadir Pur Chimna,218030603,,,,687,474,1161,,,
"",,Qadir Pur Chimna,218030604,,,,356,254,610,,,
Total,,,,,,,1146,802,1948,2,2,4
117,"Govt Boys Primary School, Shah Abu Tahir Basti KikarWala.(P)",Shah Adbu Tahir,218030605,,,,290,213,503,2,2,4
"",,Shah Adbu Tahir,218030606,,,,594,461,1055,,,
"",,Shah Adbu Tahir,218030607,,,,201,144,345,,,
Total,,,,,,,1085,818,1903,2,2,4
118,"Govt Boys Primary School, Daim kot (P)",Kot Daim,218030807,,,,606,408,1014,2,1,3
"",,Kot Daim,218030808,,,,298,199,497,,,
Total,,,,,,,904,607,1511,2,1,3
119,"Govt Boys Primary School, Sikandar Abad(P)",Challay Wahin,218030801,,,,764,593,1357,1,1,2
Total,,,,,,,764,593,1357,1,1,2
120,Union Council Office Chellay Wahin Female(P),Challay Wahin,218030802,,,,0,404,404,0,3,3
"",,Challay Wahin,218030803,,,,0,482,482,,,
"",,Challay Wahin,218030804,,,,0,183,183,,,
"",,Challay Wahin,218030805,,,,0,328,328,,,
Total,,,,,,,0,1397,1397,0,3,3
121,Uncion Council Office Chellay Wahin Male(P),Challay Wahin,218030802,,,,593,0,593,4,0,4
"",,Challay Wahin,218030803,,,,652,0,652,,,
"",,Challay Wahin,218030804,,,,307,0,307,,,
"",,Challay Wahin,218030805,,,,360,0,360,,,
Total,,,,,,,1912,0,1912,4,0,4
122,"Govt Boys Primary School, Pipli(P)",Pipli,218031104,,,,287,144,431,1,1,2
"",,Pipli,218031105,,,,423,304,727,,,
Total,,,,,,,710,448,1158,1,1,2
123,Govt. Elementary School Mari Bhagu Khan Wala,Mari Bhagoo Khan,218031102,,,,754,0,754,4,0,4
"",,Mari Bhagoo Khan,218031103,,,,440,0,440,,,
"",,Shah Jamal,218031101,,,,421,0,421,,,
Total,,,,,,,1615,0,1615,4,0,4
124,"Basic Health Unit , Marri Bhagu Khan Female Part-II(P)",Mari Bhagoo Khan,218031102,,,,0,545,545,0,2,2
"",,Mari Bhagoo Khan,218031103,,,,0,330,330,,,
"",,Shah Jamal,218031101,,,,0,355,355,,,
Total,,,,,,,0,1230,1230,0,2,2
125,"Govt Boys High School, Nau Qabil Wah Part-I(P)",Nau Qabil Wah,218030301,,,,441,383,824,1,1,2
"",,Nau Qabil Wah,218030302,,,,171,132,303,,,
Total,,,,,,,612,515,1127,1,1,2
126,"Govt Boys High School, Nau Qabil Wah Part-II(P)",Nau Qabil Wah,218030303,,,,463,393,856,2,1,3
Total,,,,,,,463,393,856,2,1,3
127,Civil Despensary Basti Rang Bhara Nau Qabil Wah(P),Nau Qabil Wah,218030304,,,,742,570,1312,2,1,3
128,"Govt Girls  Primary School, Ghazi Wala (Sharak Wah)(P)",Sharik Wah,218030910,,,,455,322,777,1,1,2
"",,Sharik Wah,218030911,,,,261,177,438,,,
Total,,,,,,,716,499,1215,1,1,2
129,"Govt Girls  Middle School, Khajji Wala(P)",Khejji Wala,218030905,,,,234,180,414,2,2,4
"",,Khejji Wala,218030906,,,,448,292,740,,,
"",,Chak Muhammad Murad,218030908,,,,318,194,512,,,
Total,,,,,,,1000,666,1666,2,2,4
130,"Govt Girls  Primary School, Joi Shah Wala(P)",Khejji Wala,218030907,,,,136,99,235,1,1,2
Total,,,,,,,136,99,235,1,1,2
131,"Govt Girls  Primary School, Kabir Wah No. 2 BastiAhmadoo Wala(P)",Kabir Wah,218030904,,,,681,562,1243,1,1,2
Total,,,,,,,681,562,1243,1,1,2
132,"Govt Girls  Primary School, (Basti Arothi) Basti KikarWala(P)",Amirpur Thahim,218030912,,,,460,326,786,1,1,2
"",,Muhammad Murrad,218030909,,,,292,201,493,,,
Total,,,,,,,752,527,1279,1,1,2
133,"Govt Girls  Primary School, Hamble(P)",Hanmbal Wala,218030902,,,,494,363,857,1,1,2
Total,,,,,,,494,363,857,1,1,2
134,"Govt Girls  Primary School, Hamble wala Near petrolpump Mauza Ameer Pur(P)",Hanmbal Wala,218030903,,,,503,376,879,2,2,4
"",,Arya,218030901,,,,419,374,793,,,
Total,,,,,,,922,750,1672,2,2,4
135,"Govt Boys Primary School, Haji Wala","Chahan MuhammadSharif",218031202,,,,624,460,1084,1,1,2
Total,,,,,,,624,460,1084,1,1,2
136,"Office of Deputy District Officer Water ManagementKehror Pacca(P)",Lal Bhaghali,218010301,,,,494,376,870,2,2,4
"",,Lal Bhaghali,218010302,,,,576,454,1030,,,
Total,,,,,,,1070,830,1900,2,2,4
137,"Govt Boys Primary School, Laal Baghali  at karam Aliwahla Male(P)",Lal Bhaghali,218010303,,,,364,0,364,3,0,3
"",,Lal Bhaghali,218010304,,,,613,0,613,,,
"",,Muhammad Pur,218010306,,,,321,0,321,,,
Total,,,,,,,1298,0,1298,3,0,3
138,"Govt Girls  Primary School, Peer da Keela at Karam AliWala Female(P)",Lal Bhaghali,218010303,,,,0,296,296,0,2,2
"",,Lal Bhaghali,218010304,,,,0,452,452,,,
"",,Muhammad Pur,218010306,,,,0,244,244,,,
Total,,,,,,,0,992,992,0,2,2
Sr. No,No. and name of polling Station,In case of rural areas,In case of urban areas,"Serial No. ofvoterson theelectoral roll incase electoral",Number of voters assigned to,Number of polling,,,,,,
"",,"Name of electoralarea","Censusblock code","Name ofelectoral area","Census blockcode",Male,Female,Total,Male,Female,Total,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,"Govt.Boys Middle  School Railway Station Lodhran(Male )  (P)",,,M.C.Lodhran,217060501,,98,0,98,2,0,2
1,,,,M.C.Lodhran,217060503,,96,0,96,,,
Total,,,,,,,325,0,325,2,0,2
2,"Govt.Boys Middle  School Railway Station Lodhran (Female )(P)",,,M.C.Lodhran,217060501,,0,71,71,0,2,2
2,,,,M.C.Lodhran,217060502,,0,92,92,,,
2,,,,M.C.Lodhran,217060503,,0,74,74,,,
Total,,,,,,,0,237,237,0,2,2
3,Xen Railway Station Lodhran ( Male ) (P),,,M.C.Lodhran,217060401,,290,0,290,2,0,2
3,,,,M.C.Lodhran,217060403,,263,0,263,,,
3,,,,M.C.Lodhran,217060404,,385,0,385,,,
3,,,,M.C.Lodhran,217060405,,164,0,164,,,
Total,,,,,,,1102,0,1102,2,0,2
4,Xen Railway Station Lodhran  ( Female ) (P),,,M.C.Lodhran,217060401,,0,249,249,0,2,2
4,,,,M.C.Lodhran,217060403,,0,230,230,,,
4,,,,M.C.Lodhran,217060404,,0,321,321,,,
4,,,,M.C.Lodhran,217060405,,0,138,138,,,
Total,,,,,,,0,938,938,0,2,2
5,"Police Line Old DC Office Near Railway Station Part-I  ( Male )(P)",,,M.C.Lodhran,217060402,,634,0,634,2,0,2
5,,,,M.C.Lodhran,217060303,,468,0,468,,,
Total,,,,,,,1102,0,1102,2,0,2
6,"Govt. Girls Primary School,Murad wala  (Female) (P)",,,M.C.Lodhran,217060402,,0,490,490,0,2,2
6,,,,M.C.Lodhran,217060303,,0,393,393,,,
Total,,,,,,,0,883,883,0,2,2
7,"Govt. Commerce College, Lodhran Part-I (Comb)  (P)",,,M.C.Lodhran,217060304,,636,512,1148,2,1,3
7,,,,M.C.Lodhran,217060306,,,,,,,
Total,,,,,,,636,512,1148,2,1,3
8,"Govt. Commerce College, Lodhran Part-II (Male) (P)",,,M.C.Lodhran,217060305,,716,0,716,3,0,3
8,,,,M.C.Lodhran,217070404,,674,0,674,,,
Total,,,,,,,1390,0,1390,3,0,3
9,"Govt. Commerce College, Lodhran Part-III (Female)  (P)",,,M.C.Lodhran,217060305,,0,567,567,0,3,3
9,,,,M.C.Lodhran,217070404,,0,545,545,,,
Total,,,,,,,0,1112,1112,0,3,3
10,"Govt. Boys Middle School, Faiz abad ,  ( Male ) (P)",,,M.C.Lodhran,217060205,,170,0,170,2,0,2
10,,,,M.C.Lodhran,217060301,,409,0,409,,,
10,,,,M.C.Lodhran,217060302,,438,0,438,,,
Total,,,,,,,1017,0,1017,2,0,2
11,"Govt. Boys Middle School, Faiz abad ,Part-II (Female)(P)",,,M.C.Lodhran,217060205,,0,138,138,0,2,2
11,,,,M.C.Lodhran,217060301,,0,367,367,,,
11,,,,M.C.Lodhran,217060302,,0,344,344,,,
12,"Govt. Vocational Training Institute for women, M.C. Lodhran(Female ) (P)",,,M.C.Lodhran,217060105,,0,568,568,0,3,3
12,,,,M.C.Lodhran,217060107,,,,,,,
12,,,,M.C.Lodhran,217060201,,0,805,805,,,
12,,,,M.C.Lodhran,217060206,,,,,,,
Total,,,,,,,0,1373,1373,0,3,3
13,"TMO Office,Town Hall Lodhran ( Male ) (P)",,,M.C.Lodhran,217060105,,723,0,723,4,0,4
13,,,,M.C.Lodhran,217060107,,,,,,,
13,,,,M.C.Lodhran,217060201,,952,0,952,,,
13,,,,M.C.Lodhran,217060206,,,,,,,
Total,,,,,,,1675,0,1675,4,0,4
14,"Govt. Gilrls Medle School,Basti Ghair Qaidabad,  Part-I ( Male) (P)",,,M.C.Lodhran,217060202,,198,0,198,2,0,2
14,,,,M.C.Lodhran,217060203,,143,0,143,,,
14,,,,M.C.Lodhran,217060204,,504,0,504,,,
Total,,,,,,,845,0,845,2,0,2
15,"Govt. Gilrls Medle School,Basti Ghair Qaidabad,  Part-II (Female ) (P)",,,M.C.Lodhran,217060202,,0,196,196,0,2,2
15,,,,M.C.Lodhran,217060203,,0,129,129,,,
15,,,,M.C.Lodhran,217060204,,0,428,428,,,
Total,,,,,,,0,753,753,0,2,2
16,"Xen Office  Wapda,  ( Male ) (P)",,,M.C.Lodhran,217060101,,809,0,809,4,0,4
16,,,,M.C.Lodhran,217060106,,,,,,,
16,,,,M.C.Lodhran,217060102,,197,0,197,,,
16,,,,M.C.Lodhran,217060103,,442,0,442,,,
16,,,,M.C.Lodhran,217060104,,289,0,289,,,
Total,,,,,,,1737,0,1737,4,0,4
17,"S.D.O  Office  Wapda,  ( Female ) (P)",,,M.C.Lodhran,217060101,,0,672,672,0,3,3
17,,,,M.C.Lodhran,217060106,,,,,,,
17,,,,M.C.Lodhran,217060102,,0,166,166,,,
17,,,,M.C.Lodhran,217060103,,0,395,395,,,
17,,,,M.C.Lodhran,217060104,,0,266,266,,,
Total,,,,,,,0,1499,1499,0,3,3
18,"Lodhran Public School, Part-I (Male) (P)",,,M.C.Lodhran,217070307,,715,0,715,3,0,3
18,,,,M.C.Lodhran,217070312,,,,,,,
18,,,,M.C.Lodhran,217070305,,729,0,729,,,
Total,,,,,,,1444,0,1444,3,0,3
19,"Lodhran Public School,Part-II (Female) (P)",,,M.C.Lodhran,217070307,,0,618,618,0,3,3
19,,,,M.C.Lodhran,217070312,,,,,,,
19,,,,M.C.Lodhran,217070305,,0,615,615,,,
Total,,,,,,,0,1233,1233,0,3,3
20,"Govt.Girls Middle School ,Koray wala, (Male) (P)",,,M.C.Lodhran,217070301,,1167,0,1167,3,0,3
20,,,,M.C.Lodhran,217070309,,,,,,,
20,,,,M.C.Lodhran,217070206,,106,0,106,,,
Total,,,,,,,1273,0,1273,3,0,3
21,"Govt.Girls Middle School ,Koray wala,  (Female) (P)",,,M.C.Lodhran,217070301,,0,1003,1003,0,2,2
21,,,,M.C.Lodhran,217070308,,,,,,,
21,,,,M.C.Lodhran,217070309,,,,,,,
21,,,,M.C.Lodhran,217070206,,0,101,101,,,
Total,,,,,,,0,1104,1104,0,2,2
22,"Govt. Girls Primary School Baqa wala, ( Comb) (P)",,,M.C.Lodhran,217070402,,643,571,1214,2,2,4
22,,,,M.C.Lodhran,217070403,,255,197,452,,,
Total,,,,,,,898,768,1666,2,2,4
23,Govt. Boys Primary School No.2  (Male) Part-I (P),,,M.C.Lodhran,217070207,,299,0,299,4,0,4
23,,,,M.C.Lodhran,217070304,,835,0,835,,,
23,,,,M.C.Lodhran,217070311,,,,,,,
23,,,,M.C.Lodhran,217070306,,507,0,507,,,
Total,,,,,,,1641,0,1641,4,0,4
24,Govt. Boys Primary School No.2 (Female) Part-II (P),,,M.C.Lodhran,217070207,,0,225,225,0,3,3
24,,,,M.C.Lodhran,217070304,,0,667,667,,,
24,,,,M.C.Lodhran,217070311,,,,,,,
24,,,,M.C.Lodhran,217070306,,0,421,421,,,
Total,,,,,,,0,1313,1313,0,3,3
25,"Office of Deputy Director College,  Part-I ( Female) (P)",,,M.C.Lodhran,217070302,,0,952,952,0,3,3
25,,,,M.C.Lodhran,217070310,,,,,,,
25,,,,M.C.Lodhran,217070303,,0,303,303,,,
Total,,,,,,,0,1255,1255,0,3,3
26,"Office of Deputy Director College,  Part-II ( Female ) (P)",,,M.C.Lodhran,217070401,,0,1304,1304,0,3,3
26,,,,M.C.Lodhran,217070405,,,,,,,
26,,,,M.C.Lodhran,217070406,,,,,,,
26,,,,M.C.Lodhran,217070407,,,,,,,
26,,,,M.C.Lodhran,217070408,,0,455,455,,,
Total,,,,,,,0,1304,1304,0,3,3
27,"Govt.Girls Degree College, M.C Lodhran ( Male ) (P)",,,M.C.Lodhran,217070302,,1149,0,1149,4,0,4
27,,,,M.C.Lodhran,217070310,,,,,,,
27,,,,M.C.Lodhran,217070303,,387,0,387,,,
Total,,,,,,,1536,0,1536,4,0,4
28,"Govt.Girls Degree College, Lodhran ( Male ) (P)",,,M.C.Lodhran,217070401,,1673,0,1673,4,0,4
28,,,,M.C.Lodhran,217070405,,,,,,,
28,,,,M.C.Lodhran,217070406,,,,,,,
28,,,,M.C.Lodhran,217070407,,,,,,,
28,,,,M.C.Lodhran,217070408,,565,0,565,,,
Total,,,,,,,1673,0,1673,4,0,4
29,,,,M.C.Lodhran,217070205,,287,0,1193,,,
"",,,,M.C.Lodhran,217070209,,980,0,980,,,
Total,,,,,,,1769,0,2647,4,0,4
30,"Govt.Girls High School (Primary Portion), (Female ) (P)",,,M.C.Lodhran,217070107,,0,436,436,0,3,3
30,,,,M.C.Lodhran,217070205,,0,1020,1020,,,
30,,,,M.C.Lodhran,217070209,,0,801,801,,,
Total,,,,,,,0,2257,2257,0,3,3
31,"Govt.Boys High School , Part-I ( Male ) (P)",,,M.C.Lodhran,217070101,,267,0,267,3,0,3
31,,,,M.C.Lodhran,217070106,,681,0,681,,,
31,,,,M.C.Lodhran,217070102,,553,0,553,,,
Total,,,,,,,1501,0,1501,3,0,3
32,"Govt.Boys High School, Part-II ( Male ) (P)",,,M.C.Lodhran,217070201,,1026,0,1026,4,0,4
32,,,,M.C.Lodhran,217070208,,,,,,,
32,,,,M.C.Lodhran,217070210,,,,,,,
32,,,,M.C.Lodhran,217070202,,443,0,443,,,
32,,,,M.C.Lodhran,217070203,,138,0,138,,,
32,,,,M.C.Lodhran,217070204,,178,0,178,,,
Total,,,,,,,1785,0,1785,4,0,4
33,Govt.Girls High School Part-I ( Female ) (P),,,M.C.Lodhran,217070101,,0,233,233,0,2,2
33,,,,M.C.Lodhran,217070106,,0,531,531,,,
33,,,,M.C.Lodhran,217070102,,0,410,410,,,
Total,,,,,,,0,1174,1174,0,2,2
34,Govt.Girls High School  Part-II    ( Female ) (P),,,M.C.Lodhran,217070201,,0,889,889,0,4,4
34,,,,M.C.Lodhran,217070208,,,,,,,
34,,,,M.C.Lodhran,217070210,,,,,,,
34,,,,M.C.Lodhran,217070202,,0,398,398,,,
34,,,,M.C.Lodhran,217070203,,0,139,139,,,
34,,,,M.C.Lodhran,217070204,,0,175,175,,,
Total,,,,,,,0,1601,1601,0,4,4
35,"Govt. City High School ,M.C Lodhran (Near Govt. SepecialEducation School) Part-I (Male) (P)",,,M.C.Lodhran,217070104,,337,0,337,3,0,3
35,,,,M.C.Lodhran,217070105,,1104,0,1104,,,
35,,,,M.C.Lodhran,217070108,,467,0,467,,,
Total,,,,,,,1441,0,1441,3,0,3
36,"Govt.Special Education  School ,M.C Lodhran (Purana DEOOffice) (Comb ) (P)",,,M.C.Lodhran,217070103,,843,630,1473,2,2,4
Total,,,,,,,843,630,1473,2,2,4
37,"Govt. City High School ,M.C Lodhran (Near Govt. SepecialEducation School) Part-II (Female) (P)",,,M.C.Lodhran,217070104,,0,243,243,0,3,3
37,,,,M.C.Lodhran,217070105,,0,945,945,,,
"",,,,M.C.Lodhran,217070108,,0,386,386,,,
38,Police Line Old DC Office Near Railway Station Part-II (Comb),,,M.C.Lodhran,217060504,,321,0,321,2,0,2
38,,,,M.C.Lodhran,217060505,,495,0,495,,,
Total,,,,,,,816,0,816,2,0,2
39,Police Line Old DC Office Near Railway Station Part-III (Comb),,,M.C.Lodhran,217060504,,0,251,321,0,4,4
