S.No.,No. and Name of Polling Station,"In case of rural area","In case of urban area","S.No. of voters on the electoral roll in case electoral area is bifurcated","Male Voters","Female Voters","Total Voters","Male Booths","Female Booths","Total Booths",,
12,"Girls Midle School, 52/12-L(Combined)",52/12-L,209040205,-,-,-,602,493,1095,2,1,3
12 Total,,,,,,,602,493,1095,,,
13,"Girls Midle School, 52/12-L(Combined)",52/12-L,209040206,-,-,-,660,514,1174,2,1,3
13 Total,,,,,,,660,514,1174,,,
14,"Boys Middle School, 51/12-L(Combined)",51/12-L,209040204,-,-,-,616,511,1127,2,1,3
14 Total,,,,,,,616,511,1127,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
15,"Boys Middle School, 51/12-L(Combined)",51/12-L,209040203,-,-,-,415,325,740,1,1,2
15 Total,,,,,,,415,325,740,,,
16,"Girls Middle School, 51/12-L(Combined)",51/12-L,209040201,-,-,-,246,212,458,2,1,3
16,,51/12-L,209040202,-,-,-,338,312,650,,,
16 Total,,,,,,,584,524,1108,,,
17,"Boys Middle School,56-A/12-L  (Combined)",56-A/12-L,209041204,-,-,-,285,215,500,1,1,2
17,,56-A/12-L,209041206,-,-,-,198,173,371,,,
17 Total,,,,,,,483,388,871,,,
18,"Boys Middle School,  56-A/12-L(Combined)",56-A/12-L,209041205,-,-,-,465,336,801,1,1,2
18 Total,,,,,,,465,336,801,,,
19,"Girls Primary School,167/9-L  (Combined)",167/9-L,209041209,-,-,-,628,505,1133,2,1,3
19 Total,,,,,,,628,505,1133,,,
20,"Girls Primary School,167/9-L    (Combined)",167/9-L,209041207,-,-,-,472,363,835,2,2,4
20,,167/9-L,209041208,-,-,-,351,244,595,,,
20 Total,,,,,,,823,607,1430,,,
21,"Boys Primary School,166/9-L   (Combined)",166/9-L,209041201,-,-,-,479,321,800,2,1,3
21,,166/9-L,209041203,-,-,-,213,177,390,,,
21 Total,,,,,,,692,498,1190,,,
22,"Boys Primary School,166/9-L   (Combined)",166/9-L,209041202,-,-,-,418,303,721,2,1,3
22,,166/9-L,209041210,-,-,-,243,196,439,,,
22 Total,,,,,,,661,499,1160,,,
23,"Girls High School, 168/9-L       P-I(Combined)",168/9-L,209041305,-,-,-,568,470,1038,2,2,4
23,,168/9-L,209041308,-,-,-,159,128,287,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
24,"Girls High School, 168/9-L       P-I(Combined)",168/9-L,209041306,-,-,-,630,456,1086,2,1,3
24 Total,,,,,,,630,456,1086,,,
25,"Boys Higher Secondary School, 168/9L  (Combined)",168/9-L,209041310,-,-,-,847,617,1464,2,2,4
25 Total,,,,,,,847,617,1464,,,
26,"Boys Higher Secondary School, 168/9L  (Combined)",168/9-L,209041307,-,-,-,225,176,401,2,1,3
26,,168/9-L,209041309,-,-,-,449,389,838,,,
26 Total,,,,,,,674,565,1239,,,
27,"Boys Primary School,165-A/9-L  (Combined)",165-A/9-L,209041301,-,-,-,162,116,278,2,1,3
27,,165-A/9-L,209041302,-,-,-,480,353,833,,,
27 Total,,,,,,,642,469,1111,,,
28,"Girls Primary School,165-A/9-L   (Combined)",165-A/9-L,209041303,-,-,-,270,227,497,1,1,2
28,,165-A/9-L,209041304,-,-,-,258,177,435,,,
28 Total,,,,,,,528,404,932,,,
29,"Boys Primary School,86/12-L  (Combined)",86/12-L,209040503,-,-,-,307,207,514,1,1,2
29,,86/12-L,209040505,-,-,-,156,116,272,,,
29 Total,,,,,,,463,323,786,,,
30,"Boys Primary School,  86/12-L(Combined)",86/12-L,209040504,-,-,-,508,371,879,1,1,2
30 Total,,,,,,,508,371,879,,,
31,"Boys Middle School,86-A/12L  (Combined)",86-A/12-L,209040501,-,-,-,272,202,474,2,1,3
31,,86-A/12-L,209040502,-,-,-,379,285,664,,,
31 Total,,,,,,,651,487,1138,,,
32,"Boys Primary  School,87/12-LMasooranwali  (Combined)",87/12-L,209040506,-,-,-,591,477,1068,1,1,2
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
33,"Boys Primary  School,  87/12-LMasooranwali  (Combined)",87/12-L,209040507,-,-,-,431,356,787,1,1,2
33 Total,,,,,,,431,356,787,,,
34,"Girls Middle  School, 87-/12-LAbadiGujran (Combined)",87/12-L,209040508,-,-,-,164,109,273,1,1,2
34,,87/12-L,209040509,-,-,-,411,287,698,,,
34 Total,,,,,,,575,396,971,,,
35,"Boys Primary School,56/12-L  (Combined)",56/12-L,209040605,-,-,-,477,383,860,2,2,4
35,,56/12-L,209040606,-,-,-,408,311,719,,,
35 Total,,,,,,,885,694,1579,,,
36,"Boys Middle School, 57/12-L(Combined)",57/12-L,209040601,-,-,-,334,214,548,1,1,2
36,,57/12-L,209040602,-,-,-,179,126,305,,,
36 Total,,,,,,,513,340,853,,,
37,"Boys Middle School,57/12-L    (Combined)",57/12-L,209040603,-,-,-,350,201,551,2,1,3
37,,57/12-L,209040604,-,-,-,509,300,809,,,
37 Total,,,,,,,859,501,1360,,,
38,"Govt. Elementary School, 54/12-L(Combined)",54/12-L,209041006,-,-,-,653,450,1103,2,1,3
38 Total,,,,,,,653,450,1103,,,
39,"Govt. Elementary School, 54/12-L(Combined)",54/12-L,209041005,-,-,-,228,147,375,2,1,3
39,,54/12-L,209041007,-,-,-,256,176,432,,,
39,,54/12-L,209041009,-,-,-,168,139,307,,,
39 Total,,,,,,,652,462,1114,,,
40,"Govt. Elementary School, 54/12-L(Combined)",54/12-L,209041008,-,-,-,251,215,466,2,1,3
40,,54/12-L,209041010,-,-,-,385,268,653,,,
40 Total,,,,,,,636,483,1119,,,
41,"Girls Primary School,55/12-L  (Combined)",55/12-L,209040804,-,-,-,431,351,782,1,1,2
41 Total,,,,,,,431,351,782,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
42,"Girls Middle School, 47/12-L(Combined)",47/12-L,209040801,-,-,-,444,319,763,2,1,3
42,,47/12-L,209040802,-,-,-,298,189,487,,,
42 Total,,,,,,,742,508,1250,,,
43,"Boys Middle School, 47/12-L(Combined)",47/12-L,209040803,-,-,-,681,588,1269,2,1,3
43 Total,,,,,,,681,588,1269,,,
44,"Boys High School, 53/12-L(Combined)",53/12-L,209041001,-,-,-,347,268,615,2,2,4
44,,53/12-L,209041002,-,-,-,456,357,813,,,
44 Total,,,,,,,803,625,1428,,,
45,"Boys High School, 53/12-L(Combined)",53/12-L,209041003,-,-,-,594,527,1121,2,2,4
45,,53/12-L,209041004,-,-,-,236,172,408,,,
45 Total,,,,,,,830,699,1529,,,
46,"Boys High School, 66/12-L(Combined)",66/12-L,209070801,-,-,-,273,151,424,2,2,4
46,,66/12-L,209070802,-,-,-,614,394,1008,,,
46 Total,,,,,,,887,545,1432,,,
47,"Boys High School, 66/12-L(Combined)",66/12-L,209070803,-,-,-,531,360,891,2,2,4
47,,66/12-L,209070804,-,-,-,348,224,572,,,
47 Total,,,,,,,879,584,1463,,,
48,"Boys Primary School,67/12-L  (Combined)",67/12-L,209070805,-,-,-,487,356,843,2,2,4
48,,67/12-L,209070806,-,-,-,175,120,295,,,
48,,67/12-L,209070807,-,-,-,300,216,516,,,
48 Total,,,,,,,962,692,1654,,,
49,"Boys High School, 58/12-L(Combined)",58/12-L,209040702,-,-,-,554,410,964,2,2,4
49,,58/12-L,209040704,-,-,-,264,203,467,,,
49 Total,,,,,,,818,613,1431,,,
50,"Boys High School, 58/12-L(Combined)",58/12-L,209040701,-,-,-,302,220,522,2,1,3
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
50,,58/12-L,209040703,-,-,-,326,244,570,,,
50 Total,,,,,,,628,464,1092,,,
51,"Boys Middle School, 62/12-L(Combined)",62/12-L,209040706,-,-,-,645,500,1145,2,1,3
51 Total,,,,,,,645,500,1145,,,
52,"Boys Middle School, 62/12-L(Combined)",62/12-L,209040705,-,-,-,352,255,607,1,1,2
52 Total,,,,,,,352,255,607,,,
53,"Boys Middle School,  63-64/12-L(Combined)",63-64/12-L,209040708,-,-,-,549,446,995,1,1,2
53 Total,,,,,,,549,446,995,,,
54,"Boys Middle School,63-64/12-L  (Combined)",63-64/12-L,209040707,-,-,-,546,466,1012,1,1,2
54 Total,,,,,,,546,466,1012,,,
55,"Boys Primary School,59/12-L(Main Abadi  (Combined)",59/12-L,209040902,-,-,-,580,385,965,2,2,4
55,,59/12-L,209040904,-,-,-,276,180,456,,,
55 Total,,,,,,,856,565,1421,,,
56,"Boys Primary School,59/12-L( Kundianwala (Combined)",59/12-L,209040901,-,-,-,370,274,644,2,2,4
56,,59/12-L,209040903,-,-,-,463,356,819,,,
56 Total,,,,,,,833,630,1463,,,
57,"Girls Middle School, 60/12-L(Combined)",60/12-L,209040906,-,-,-,505,360,865,1,1,2
57 Total,,,,,,,505,360,865,,,
58,"Girls Middle School, 60/12-L(Combined)",60/12-L,209040905,-,-,-,327,285,612,2,1,3
58,,60/12-L,209040907,-,-,-,299,220,519,,,
58 Total,,,,,,,626,505,1131,,,
59,"Boys Primary School,61/12-L  (Combined)",61/12-L,209040908,-,-,-,228,190,418,2,2,4
59,,61/12-L,209040909,-,-,-,334,298,632,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
59,,61/12-L,209040910,-,-,-,234,205,439,,,
59 Total,,,,,,,796,693,1489,,,
60,"Boys High School, 13/14-L(Combined)",13/14-L,209060402,-,-,-,654,520,1174,2,1,3
60 Total,,,,,,,654,520,1174,,,
61,"Boys High School, 13/14-L(Combined)",13/14-L,209060403,-,-,-,575,494,1069,1,1,2
61 Total,,,,,,,575,494,1069,,,
62,"Girls Middle School, 13/14-L(Combined)",13/14-L,209060401,-,-,-,551,395,946,1,1,2
62 Total,,,,,,,551,395,946,,,
63,"Girls Elementary School,14/14-L (Combined)",14/14-L,209060404,-,-,-,525,476,1001,2,2,4
63,,14/14-L,209060411,-,-,-,208,139,347,,,
63 Total,,,,,,,733,615,1348,,,
64,"Boys High School, 14/14-L(Combined)",14/14-L,209060405,-,-,-,484,449,933,2,2,4
64,,14/14-L,209060406,-,-,-,189,167,356,,,
64 Total,,,,,,,673,616,1289,,,
65,"Girls Primary School,17/14-L (Combined)",17/14-L,209060407,-,-,-,315,200,515,2,2,4
65,,17/14-L,209060410,-,-,-,551,426,977,,,
65 Total,,,,,,,866,626,1492,,,
66,"Girls Primary School,17/14-L    (Combined)",17/14-L,209060408,-,-,-,335,258,593,2,2,4
66,,17/14-L,209060409,-,-,-,488,336,824,,,
66 Total,,,,,,,823,594,1417,,,
67,"Boys Primary School,12/14-L  (Combined)",12/14-L,209060301,-,-,-,661,502,1163,2,1,3
67 Total,,,,,,,661,502,1163,,,
68,"Girls Primary School,12/14-L (Combined)",12/14-L,209060302,-,-,-,397,282,679,1,1,2
68,,12/14-L,209060303,-,-,-,64,27,91,,,
68 Total,,,,,,,461,309,770,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
69,"Boys High School, 9/14-L (Combined)",9/14-L,209060307,-,-,-,472,359,831,1,1,2
69 Total,,,,,,,472,359,831,,,
70,"Girls High School, 9/14-L (Combined)",9/14-L,209060310,-,-,-,511,372,883,1,1,2
70 Total,,,,,,,511,372,883,,,
71,"Girls High School, 9/14-L  (Combined)",9/14-L,209060309,-,-,-,368,333,701,2,2,4
71,,9/14-L,209060311,-,-,-,390,303,693,,,
71 Total,,,,,,,758,636,1394,,,
72,"Girls High School, 9/14-L  (Combined)",9/14-L,209060308,-,-,-,465,299,764,2,1,3
72,,9/14-L,209060312,-,-,-,188,146,334,,,
72 Total,,,,,,,653,445,1098,,,
73,"Boys Primary School,10/14-L  (Combined)",10/14-L,209060305,-,-,-,650,593,1243,2,1,3
73 Total,,,,,,,650,593,1243,,,
74,"Girls Primary School,10/14-L  (Combined)",10/14-L,209060304,-,-,-,385,308,693,1,1,2
74,,10/14-L,209060306,-,-,-,69,29,98,,,
74 Total,,,,,,,454,337,791,,,
75,"Boys Primary School, 7/14-L(Combined)",7/14-L,209060202,-,-,-,699,551,1250,2,1,3
75,,7/14-L,209060224,-,-,-,115,86,201,,,
75 Total,,,,,,,814,637,1451,,,
76,"Girls Primary School, 7/14-L(Combined)",7/14-L,209060201,-,-,-,317,244,561,1,1,2
76,,7/14-L,209060203,-,-,-,275,230,505,,,
76 Total,,,,,,,592,474,1066,,,
77,"Girls Higher  Secondary School,Iqbalnagar   7/14-L  (Combined)",7/14-L,209060204,-,-,-,370,247,617,2,2,4
77,,7/14-L,209060205,-,-,-,185,146,331,,,
77,,7/14-L,209060206,-,-,-,220,167,387,,,
77 Total,,,,,,,775,560,1335,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
78,"Girls Higher  Secondary School,Iqbalnagar   7/14-L  (Combined)",7/14-L,209060207,-,-,-,670,502,1172,1,1,2
78 Total,,,,,,,670,502,1172,,,
79,"Boys High School, 11/14-L (Male)",11/14-L,209060210,-,-,-,289,0,289,2,0,2
79,,11/14-L,209060211,-,-,-,398,0,398,,,
79,,11/14-L,209060212,-,-,-,280,0,280,,,
79 Total,,,,,,,967,0,967,,,
80,"Boys High School, 11/14-L (Male)",11/14-L,209060208,-,-,-,70,0,70,2,0,2
80,,11/14-L,209060209,-,-,-,310,0,310,,,
80,,11/14-L,209060213,-,-,-,24,0,24,,,
80,,11/14-L,209060214,-,-,-,285,0,285,,,
80,,11/14-L,209060215,-,-,-,310,0,310,,,
80 Total,,,,,,,999,0,999,,,
81,"Girls Primary School,11/14-L (Female)",11/14-L,209060208,-,-,-,0,55,55,0,3,3
81,,11/14-L,209060209,-,-,-,0,222,222,,,
81,,11/14-L,209060210,-,-,-,0,194,194,,,
81,,11/14-L,209060211,-,-,-,0,361,361,,,
81,,11/14-L,209060212,-,-,-,0,176,176,,,
81,,11/14-L,209060213,-,-,-,0,20,20,,,
81,,11/14-L,209060214,-,-,-,0,144,144,,,
81,,11/14-L,209060215,-,-,-,0,219,219,,,
81 Total,,,,,,,0,1391,1391,,,
82,"Boys Middle School, 16/14-L (Male)",16/14-L,209060216,-,-,-,230,0,230,2,0,2
82,,16/14-L,209060217,-,-,-,178,0,178,,,
82,,16/14-L,209060218,-,-,-,591,0,591,,,
82,,16/14-L,209060219,-,-,-,166,0,166,,,
82 Total,,,,,,,1165,0,1165,,,
83,"Boys Middle School, 16/14-L (Male)",16/14-L,209060220,-,-,-,205,0,205,2,0,2
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
83,,16/14-L,209060222,-,-,-,319,0,319,,,
83,,16/14-L,209060223,-,-,-,112,0,112,,,
83 Total,,,,,,,939,0,939,,,
84,"Govt. Girls High  School, 16/14-L(Female)",16/14-L,209060216,-,-,-,0,154,154,0,4,4
84,,16/14-L,209060217,-,-,-,0,146,146,,,
84,,16/14-L,209060218,-,-,-,0,430,430,,,
84,,16/14-L,209060219,-,-,-,0,122,122,,,
84,,16/14-L,209060220,-,-,-,0,159,159,,,
84,,16/14-L,209060221,-,-,-,0,233,233,,,
84,,16/14-L,209060222,-,-,-,0,226,226,,,
84,,16/14-L,209060223,-,-,-,0,94,94,,,
84 Total,,,,,,,0,1564,1564,,,
85,"Boys Primary School,76/12-L  (Combined)",76/12-L,209070401,-,-,-,242,186,428,1,1,2
85,,76/12-L,209070402,-,-,-,359,253,612,,,
85 Total,,,,,,,601,439,1040,,,
86,"Girls Middle School, 77/12-L(Combined)",77/12-L,209070403,-,-,-,411,330,741,1,1,2
86 Total,,,,,,,411,330,741,,,
87,"Girls Middle School, 77/12-L(Combined)",77/12-L,209070404,-,-,-,537,426,963,1,1,2
87 Total,,,,,,,537,426,963,,,
88,"Boys Primary School,80/12-L    (Combined)",80/12-L,209070406,-,-,-,692,519,1211,2,1,3
88 Total,,,,,,,692,519,1211,,,
89,"Boys Primary School,  80/12-L(Combined)",80/12-L,209070405,-,-,-,333,224,557,1,1,2
89 Total,,,,,,,333,224,557,,,
90,"Govt Primary School,72/12-L(PEF)(Combined)",72/12-L,209070602,-,-,-,639,536,1175,1,1,2
90 Total,,,,,,,639,536,1175,,,
91,"Boys Primary School,73/12-L    (Combined)",73/12-L,209070505,-,-,-,332,313,645,2,1,3
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
91,,73/12-L,209070506,-,-,-,282,204,486,,,
91 Total,,,,,,,614,517,1131,,,
92,"Govt. Girls Elementary School,74/12-L Combined (Combined)",74/12-L,209070503,-,-,-,379,301,680,2,1,3
92,,74/12-L,209070504,-,-,-,375,282,657,,,
92 Total,,,,,,,754,583,1337,,,
93,"Boys High School,75/12-L(Combined)",75/12-L,209070501,-,-,-,246,183,429,1,1,2
93,,75/12-L,209070502,-,-,-,369,284,653,,,
93 Total,,,,,,,615,467,1082,,,
94,"Girls Primary School,70/12-L  (Combined)",70/12-L,209070604,-,-,-,235,178,413,2,1,3
94,,70/12-L,209070605,-,-,-,441,344,785,,,
94 Total,,,,,,,676,522,1198,,,
95,"Govt. Girls  Primary School,71/12-L(Combined)",71/12-L,209070601,-,-,-,724,565,1289,2,1,3
95 Total,,,,,,,724,565,1289,,,
96,"Govt Girls  Primary School,72/12-L(Combined)",72/12-L,209070603,-,-,-,410,293,703,1,1,2
96 Total,,,,,,,410,293,703,,,
97,"Boys Primary School,68/12-L    (Combined)",68/12-L,209070701,-,-,-,362,316,678,2,1,3
97,,68/12-L,209070702,-,-,-,294,230,524,,,
97 Total,,,,,,,656,546,1202,,,
98,"Govt Girls Middle School, 69/12-L(Male)",69/12-L,209070703,-,-,-,646,0,646,2,0,2
98,,69/12-L,209070704,-,-,-,269,0,269,,,
98 Total,,,,,,,915,0,915,,,
99,"Govt Girls Middle School, 69/12-L(Female)",69/12-L,209070703,-,-,-,0,522,522,0,2,2
99,,69/12-L,209070704,-,-,-,0,193,193,,,
99 Total,,,,,,,0,715,715,,,
100,"Govt High School, 69-A/12-L(Female)",69-A/12-L,209070705,-,-,-,0,487,487,0,2,2
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
100,,69-A/12-L,209070706,-,-,-,0,266,266,,,
100 Total,,,,,,,0,753,753,,,
101,"Govt High School, 69-A/12-L   (Male)",69-A/12-L,209070705,-,-,-,633,0,633,2,0,2
101,,69-A/12-L,209070706,-,-,-,424,0,424,,,
101 Total,,,,,,,1057,0,1057,,,
102,"Girls Middle  School, 81/12-L(Combined)",81/12-L,209070707,-,-,-,305,244,549,2,1,3
102,,81/12-L,209070708,-,-,-,400,341,741,,,
102 Total,,,,,,,705,585,1290,,,
103,"Girls Primary School,33/14-L   Combined (Combined)",33/14-L,209070101,-,-,-,371,319,690,2,1,3
103,,33/14-L,209070102,-,-,-,414,322,736,,,
103 Total,,,,,,,785,641,1426,,,
104,"Girls Primary School,83/12-L    (Combined)",83/12-L,209070105,-,-,-,226,147,373,1,1,2
104,,83/12-L,209070106,-,-,-,429,369,798,,,
104 Total,,,,,,,655,516,1171,,,
105,"Boys Primary School,84/12-L    (Combined)",84/12-L,209070103,-,-,-,205,161,366,2,1,3
105,,84/12-L,209070104,-,-,-,516,439,955,,,
105 Total,,,,,,,721,600,1321,,,
106,"Boys Primary School,34/14-L   (Male)",34/14-L,209070206,-,-,-,135,0,135,3,0,3
106,,34/14-L,209070207,-,-,-,327,0,327,,,
106,,34/14-L,209070208,-,-,-,229,0,229,,,
106,,34/14-L,209070209,-,-,-,422,0,422,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
106 Total,,,,,,,1384,0,1384,,,
107,"Girls Primary School,34/14-L   (Female)",34/14-L,209070206,-,-,-,0,120,120,0,2,2
107,,34/14-L,209070207,-,-,-,0,281,281,,,
107,,34/14-L,209070208,-,-,-,0,208,208,,,
107,,34/14-L,209070209,-,-,-,0,412,412,,,
107,,34/14-L,209070210,-,-,-,0,149,149,,,
107 Total,,,,,,,0,1170,1170,,,
108,"Boys Primary School,36/14-L  (Combined)",36/14-L,209070201,-,-,-,275,183,458,1,1,2
108,,36/14-L,209070203,-,-,-,254,177,431,,,
108 Total,,,,,,,529,360,889,,,
109,"Boys Primary School,36/14-L     (Combined)",36/14-L,209070202,-,-,-,541,378,919,1,1,2
109 Total,,,,,,,541,378,919,,,
110,"Boys Primary School,37/14-L     (Combined)",37/14-L,209070204,-,-,-,182,149,331,1,1,2
110,,37/14-L,209070205,-,-,-,368,336,704,,,
110 Total,,,,,,,550,485,1035,,,
111,"Boys Primary School,78/12-L  (Combined)",78/12-L,209070301,-,-,-,397,352,749,1,1,2
111,,78/12-L,209070302,-,-,-,193,167,360,,,
111 Total,,,,,,,590,519,1109,,,
112,"Boys Primary School,79/12-L   (Combined)",79/12-L,209070303,-,-,-,639,471,1110,2,1,3
112,,79/12-L,209070304,-,-,-,152,121,273,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
113,"Boys High School, 82/12-L(Combined)",82/12-L,209070305,-,-,-,309,259,568,2,1,3
