102,,,Ahmad Yar Block,185010544,,220,0,220,0,Male,,,
102,,,Ahmad Block,185010545,,220,0,220,0,Male,,,
102 Total,,,,,,,1537,0,1537,4,0,4,
103,"Federal Public Service Commission OfficeMustafa Town Near Marriage Hall Lahore(Permanent) ()",,,Ghani Colony,185010530,,0,412,412,0,3,3,Female
103,,,"Allah Yar Block -Hadayat  Allah Block",185010543,,0,147,147,0,Female,,,
103,,,Ahmad Block,185010545,,0,227,227,0,Female,,,
103,,,"Mustafa Town -Mumtaz Bukhtawar",185010539,,0,85,85,0,Female,,,
103,,,"Allah Yar Block -Hadayat  Allah Block",185010542,,0,273,273,0,Female,,,
103,,,Ahmad Yar Block,185010544,,0,209,209,0,Female,,,
103 Total,,,,,,,0,1353,1353,0,3,3,
104,"Zikas School System, Civic Centre, MustafaTown, Lahore.",,,Abbas Block,185010549,,618,548,1166,1,1,2,Combined
104,,,Abbas Block,185010569,,99,83,182,0,Combined,,,
104 Total,,,,,,,717,631,1348,1,1,2,
105,"Federal Public Service Commission OfficeMustafa Town Near Marriage Hall Lahore(Permanent) ()",,,Shehbaz Block,185010546,,121,113,234,1,1,2,Combined
105,,,Shehbaz Block,185010547,,232,203,435,0,Combined,,,
105,,,Abbas Block,185010548,,81,102,183,0,Combined,,,
105,,,Abbas Block,185010568,,101,104,205,0,Combined,,,
105 Total,,,,,,,535,522,1057,1,1,2,
106,"Office of the Tech Housing Society Canal RoadLahore ()",,,Block-B Tak Society,185010612,,0,0,0,1,1,2,Combined
106,,,Block-B Tak Society,185010651,,385,370,755,0,Combined,,,
106,,,Block-B Tak Society,185010652,,27,18,45,0,Combined,,,
106,,,"Ghosha Ahbab Block-ATak Society",185010611,,180,176,356,0,Combined,,,
106 Total,,,,,,,592,564,1156,1,1,2,
107,"Office of the Tech Housing Society Canal RoadLahore ()",,,"Colony PCSIR Phase-lBlock-A",185010610,,463,0,463,3,0,3,Male
107,,,Alfah Society,185010613,,952,0,952,0,Male,,,
107 Total,,,,,,,1415,0,1415,3,0,3,
108,"Zikas School System, Civic Centre, MustafaTown, Lahore.",,,"Colony PCSIR Phase-lBlock-A",185010610,,0,455,455,0,3,3,Female
108,,,Alfah Society,185010613,,0,922,922,0,Female,,,
"",S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",108 Total,,,,,,,0,1377,1377,0,3,3,
"",109,Al-Farid Elemantary School Bhola Ghari Lahore (),,,Bola Garhi,185010101,,595,453,1048,1,1,2,Combined
"",109 Total,,,,,,,595,453,1048,1,1,2,
"",110,"Govt. High School Shahpur Kanjrah Lahore(Permanent ()",,,"Shah Pur-MaryamColony-Tahir Colony",185010102,,550,415,965,1,1,2,Combined
"",110,,,Rakh Thaki,185010103,,20,15,35,0,Combined,,,
"",110 Total,,,,,,,570,430,1000,1,1,2,
"",111,Lahore Grammer School EME Society Lahore (),,,EME Society,185010901,,211,0,211,2,1,3,Male
"",111,,,EME Society,185010920,,176,0,176,0,Male,,,
"",111,,,EME Society,185010902,,241,0,241,0,Male,,,
"",111,,,EME Society,185010921,,155,0,155,0,Male,,,
"",111,,,EME Society,185010903,,191,0,191,0,Male,,,
"",111,,,EME Society,185010904,,209,0,209,0,Male,,,
"",111 Total,,,,,,,1183,0,1183,2,1,3,
"",112,"Lahore Grammar School, LAS EME, DHA, Lahore",,,EME Society,185010901,,0,226,226,2,2,4,Female
"",112,,,EME Society,185010920,,0,196,196,0,Female,,,
"",112,,,EME Society,185010902,,0,192,192,0,Female,,,
"",112,,,EME Society,185010921,,0,210,210,0,Female,,,
"",112,,,EME Society,185010903,,0,187,187,0,Female,,,
"",112,,,EME Society,185010904,,0,179,179,0,Female,,,
"",112 Total,,,,,,,0,1190,1190,2,2,4,
"",113,"Rukhsana Public School Mohafiz Town, Lahore ()",,,Shah Pur - Khan Pur,185010908,,513,0,513,4,0,4,Male
"",113,,,Shah Pur - Khan Pur,185010909,,282,0,282,0,Male,,,
"",113,,,Shah Pur - Khan Pur,185010910,,189,0,189,0,Male,,,
"",113,,,Shah Pur - Khan Pur,185010922,,142,0,142,0,Male,,,
"",113,,,Shah Pur - Khan Pur,185010923,,99,0,99,0,Male,,,
"",113,,,Shah Pur - Khan Pur,185010911,,279,0,279,0,Male,,,
"",113 Total,,,,,,,1504,0,1504,4,0,4,
"",114,Rukhsana Public School Mohafiz Town Lahore (),,,Shah Pur - Khan Pur,185010908,,0,432,432,0,2,2,Female
"",114,,,Shah Pur - Khan Pur,185010911,,0,174,174,0,Female,,,
"",114,,,Shah Pur - Khan Pur,185010909,,0,614,614,0,Female,,,
"",114,,,Shah Pur - Khan Pur,185010910,,0,0,0,0,Female,,,
"",114,,,Shah Pur - Khan Pur,185010922,,0,0,0,0,Female,,,
"",114,,,Shah Pur - Khan Pur,185010923,,0,0,0,0,Female,,,
"",114 Total,,,,,,,0,1220,1220,0,2,2,
"",115,,,"Pasco Housing SchemeSociety ( Ameer Kot)",185010803,,371,334,705,2,Combined,,,
"",115,,,"Eden Canal Villas(Ameer Kot)",185010801,,66,69,135,0,Combined,,,
S.No.,"Govt. High School Shahpur Kanjrah Lahore(NPeor.m aannedn tN (a) me of Polling Station","In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","1MaleBooths","1FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
115,,,,"Edin Canal Villas(Ameer Kot)",185010804,,55,72,127,,,0,Combined
115 Total,,,,,,,547,523,1070,1,1,2,
116,"Government Primary School Khanpur, Lahore(Permanent) ()",,,Shah Pur - Khan Pur,185010912,,97,58,155,2,2,4,Combined
116,,,Shah Pur - Khan Pur,185010924,,111,80,191,0,Combined,,,
116,,,Shah Pur - Khan Pur,185010925,,104,58,162,0,Combined,,,
116,,,Shah Pur - Khan Pur,185010926,,115,76,191,0,Combined,,,
116,,,Shah Pur - Khan Pur,185010927,,1,49,50,0,Combined,,,
116,,,Shah Pur - Khan Pur,185010928,,99,48,147,0,Combined,,,
116,,,Shah Pur - Khan Pur,185010929,,146,50,196,0,Combined,,,
116,,,Shah Pur - Khan Pur,185010930,,68,80,148,0,Combined,,,
116,,,Shah Pur - Khan Pur,185010931,,43,47,90,0,Combined,,,
116,,,Shah Pur - Khan Pur,185010932,,45,48,93,0,Combined,,,
116,,,Shah Pur - Khan Pur,185010933,,99,49,148,0,Combined,,,
116,,,Shah Pur - Khan Pur,185010934,,46,48,94,0,Combined,,,
116,,,Shah Pur - Khan Pur,185010936,,47,49,96,0,Combined,,,
116,,,Shah Pur - Khan Pur,185010937,,46,26,72,0,Combined,,,
116 Total,,,,,,,1067,766,1833,2,2,4,
117,"Government PrimarySchool Khanpur, Lahore (Permanent) ()",,,Shah Pur - Khan Pur,185010915,,367,0,367,2,0,2,Male
117,,,Shah Pur - Khan Pur,185010916,,815,0,815,0,Male,,,
117 Total,,,,,,,1182,0,1182,2,0,2,
118,"Government Primary School Khanpur, Lahore(Permanent) ()",,,Shah Pur - Khan Pur,185010915,,0,376,376,0,2,2,Female
118,,,Shah Pur - Khan Pur,185010916,,0,553,553,0,Female,,,
118 Total,,,,,,,0,929,929,0,2,2,
119,"Govt. boys P/S, Peer Mudrassa Khairpur",,,Shah Pur - Khan Pur,185010913,,1313,0,1313,3,0,3,Male
119,,,Shah Pur - Khan Pur,185010914,,0,0,0,0,Male,,,
119 Total,,,,,,,1313,0,1313,3,0,3,
120,"Government Girls High School Shahpur, Lahore(Permanent) ()",,,Shah Pur - Khan Pur,185010913,,0,1001,1001,0,2,2,Female
120,,,Shah Pur - Khan Pur,185010914,,0,0,0,0,Female,,,
120 Total,,,,,,,0,1001,1001,0,2,2,
121,,,Shah Pur - Khan Pur,185010917,,635,0,635,3,Male,,,
"",S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
"",1,"Govt. boys P/S, Peer Mu2drassa Khairpur",3,4,5,6,7,8,9,10,131,102,13,14
"",121,,,,Shah Pur - Khan Pur,185010918,,123,0,123,,,0,Male
"",121,,,Shah Pur - Khan Pur,185010919,,494,0,494,0,Male,,,
"",121 Total,,,,,,,1252,0,1252,3,0,3,
"",122,"Government  Grils  Primary School, Khanpur,Lahore. (Permanent) ()",,,Shah Pur - Khan Pur,185010938,,881,0,881,3,0,3,Male
"",122,,,Shah Pur - Khan Pur,185010939,,324,0,324,0,Male,,,
"",122 Total,,,,,,,1205,0,1205,3,0,3,
"",123,"Government  Girls Primary School, Khanpur,Lahore. (Permanent) ()",,,Shah Pur - Khan Pur,185010917,,0,918,918,0,3,3,Female
"",123,,,Shah Pur - Khan Pur,185010918,,0,159,159,0,Female,,,
"",123,,,Shah Pur - Khan Pur,185010919,,0,461,461,0,Female,,,
"",123,,,Shah Pur - Khan Pur,185010938,,0,164,164,0,Female,,,
"",123,,,Shah Pur - Khan Pur,185010939,,0,129,129,0,Female,,,
"",123 Total,,,,,,,0,1831,1831,0,3,3,
"",124,"Govt. Boys P/S, gopay Rai, Lahore",,,Ghopay Raye,185010302,1-1000,1000,0,1000,2,0,2,Male
"",124 Total,,,,,,,1000,0,1000,2,0,2,
"",125,"Government  Boys Primary  School, Gopay Rai,Lahore. (Permanent)()",,,Ghopay Raye,185010302,1001-2304,1304,0,1304,2,0,2,Male
"",125 Total,,,,,,,1304,0,1304,2,0,2,
"",126,"Government  Boys Primary  School, Gopay Rai,Lahore. (Permanent) ()",,,Ghopay Raye,185010302,,0,1607,1607,0,3,3,Female
"",126 Total,,,,,,,0,1607,1607,0,3,3,
"",127,"Government Girls Primary School, Muridwal,Lahore.(Permanent)  ()",,,Mareed Wal,185010301,,1471,0,1471,3,0,3,Male
"",127 Total,,,,,,,1471,0,1471,3,0,3,
"",128,"Government Girls Primary School, Muridwali,Lahore.(Permanent) ()",,,Mareed Wal,185010301,,0,1170,1170,0,2,2,Female
"",128 Total,,,,,,,0,1170,1170,0,2,2,
"",129,"Govt. Boys P/S, Kanjra",,,Kanjrah,185010201,,677,401,1078,1,1,2,Combined
"",129,,,Kanjrah,185010202,,115,156,271,0,Combined,,,
"",129 Total,,,,,,,792,557,1349,1,1,2,
"",130,,,"Farid Town / KotGujjra'n / Fazal PuraKanjrah",185010205,,451,0,451,4,Male,,,
"",130,,,"Farid Town / KotGujjra'n / Fazal PuraKanjrah",185010206,,179,0,179,0,Male,,,
"",130,,,"Farid Town / KotGujjra'n / Fazal PuraKanjrah",185010207,,24,0,24,0,Male,,,
"",S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",130,,,,"Farid Town / KotGujjra'n / Fazal PuraKanjrah",185010209,,160,0,160,,,0,Male
"",130,,,"Farid Town / KotGujjra'n / Fazal PuraKanjrah",185010210,,3,0,3,0,Male,,,
"",130,,,"Farid Town / KotGujjra'n / Fazal PuraKanjrah",185010211,,100,0,100,0,Male,,,
"",130,,,"Farid Town / KotGujjra'n / Fazal PuraKanjrah",185010212,,0,0,0,0,Male,,,
"",130,,,"Farid Town / KotGujjra'n / Fazal PuraKanjrah",185010213,,27,0,27,0,Male,,,
"",130,,,"Farid Town / KotGujjra'n / Fazal PuraKanjrah",185010214,,17,0,17,0,Male,,,
"",130,,,Kanjrah,185010203,,462,0,462,0,Male,,,
"",130,,,Kanjrah,185010204,,57,0,57,0,Male,,,
"",130 Total,,,,,,,1482,0,1482,4,0,4,
"",131,,,Kanjrah,185010203,,0,375,375,3,Female,,,
"",131,,,Kanjrah,185010204,,0,34,34,0,Female,,,
"",131,,,"Farid Town / KotGujjra'n / Fazal PuraKanjrah",185010205,,0,450,450,0,Female,,,
"",131,,,"Farid Town / KotGujjra'n / Fazal PuraKanjrah",185010206,,0,106,106,0,Female,,,
"",131,,,"Farid Town / KotGujjra'n / Fazal PuraKanjrah",185010207,,0,2,2,0,Female,,,
"",131,,,"Farid Town / KotGujjra'n / Fazal PuraKanjrah",185010208,,0,0,0,0,Female,,,
"",131,,,"Farid Town / KotGujjra'n / Fazal PuraKanjrah",185010209,,0,48,48,0,Female,,,
"",131,,,"Farid Town / KotGujjra'n / Fazal PuraKanjrah",185010210,,0,1,1,0,Female,,,
"",S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",131,,,,"Farid Town / KotGujjra'n / Fazal PuraKanjrah",185010212,,0,0,0,,,0,Female
"",131,,,"Farid Town / KotGujjra'n / Fazal PuraKanjrah",185010213,,0,39,39,0,Female,,,
"",131,,,"Farid Town / KotGujjra'n / Fazal PuraKanjrah",185010214,,0,80,80,0,Female,,,
"",131 Total,,,,,,,0,1221,1221,0,3,3,
"",132,"Government Boys High School ali Raza AbadLahore (Permanent) ()",,,"Rakh Khambah- FatahAbad - Hussain Abad",261010701,,1211,0,1211,3,0,3,Male
"",132,,,"Rakh Khambah- FatahAbad - Hussain Abad",261010714,,0,0,0,0,Male,,,
"",132,,,"Rakh Khambah- FatahAbad - Hussain Abad",261010715,,0,0,0,0,Male,,,
"",132,,,"Rakh Khambah- FatahAbad - Hussain Abad",261010716,,188,0,188,0,Male,,,
"",132,,,"Rakh Khambah- FatahAbad - Hussain Abad",261010717,,2,0,2,0,Male,,,
"",132,,,"Rakh Khambah- FatahAbad - Hussain Abad",261010718,,57,0,57,0,Male,,,
"",132,,,"Rakh Khambah- FatahAbad - Hussain Abad",261010721,,25,0,25,0,Male,,,
"",132,,,"Rakh Khambah- FatahAbad - Hussain Abad",261010722,,6,0,6,0,Male,,,
"",132,,,"Rakh Khambah- FatahAbad - Hussain Abad",261010725,,2,0,2,0,Male,,,
"",132,,,"Rakh Khambah- FatahAbad - Hussain Abad",261010726,,4,0,4,0,Male,,,
"",132 Total,,,,,,,1495,0,1495,3,0,3,
S.No.,"No. and Name of Polling StationGovernment Boys High School Ali Raza Abad","In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths0","FemaleBooths2","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
133,,,,"Rakh Khambah- FatahAbad - Hussain Abad",261010714,,0,0,0,,,0,Female
133,,,"Rakh Khambah- FatahAbad - Hussain Abad",261010715,,0,0,0,0,Female,,,
133,,,"Rakh Khambah- FatahAbad - Hussain Abad",261010716,,0,0,0,0,Female,,,
133,,,"Rakh Khambah- FatahAbad - Hussain Abad",261010717,,0,0,0,0,Female,,,
133,,,"Rakh Khambah- FatahAbad - Hussain Abad",261010718,,0,31,31,0,Female,,,
133,,,"Rakh Khambah- FatahAbad - Hussain Abad",261010721,,0,22,22,0,Female,,,
133,,,"Rakh Khambah- FatahAbad - Hussain Abad",261010722,,0,0,0,0,Female,,,
133,,,"Rakh Khambah- FatahAbad - Hussain Abad",261010725,,0,0,0,0,Female,,,
133,,,"Rakh Khambah- FatahAbad - Hussain Abad",261010726,,0,1,1,0,Female,,,
133 Total,,,,,,,0,1158,1158,0,2,2,
134,"BHQ Ali Raza Abad, Tariq Ismail Road",,,Ali Raza Abad,261010739,,115,0,115,1,0,1,Male
134,,,Ali Raza Abad,261010740,,0,0,0,0,Male,,,
134,,,Ali Raza Abad,261010741,,0,0,0,0,Male,,,
134,,,Ali Raza Abad,261010742,,16,0,16,0,Male,,,
134,,,Ali Raza Abad,261010743,,49,0,49,0,Male,,,
134,,,Ali Raza Abad,261010744,,41,0,41,0,Male,,,
134,,,Ali Raza Abad,261010705,,2,0,2,0,Male,,,
134,,,Ali Raza Abad,261010745,,8,0,8,0,Male,,,
134,,,Ali Raza Abad,261010746,,37,0,37,0,Male,,,
134,,,Ali Raza Abad,261010747,,64,0,64,0,Male,,,
134,,,Ali Raza Abad,261010748,,88,0,88,0,Male,,,
134,,,Ali Raza Abad,261010749,,15,0,15,0,Male,,,
134 Total,,,,,,,435,0,435,1,0,1,
135,,,Ali Raza Abad,261010739,,0,97,97,2,Female,,,
135,,,Ali Raza Abad,261010740,,0,0,0,0,Female,,,
135,,,Ali Raza Abad,261010741,,0,0,0,0,Female,,,
135,,,Ali Raza Abad,261010742,,0,19,19,0,Female,,,
"",S.No.,"No. and Name of Polling StationRural Health Dispensary , Ali Raza Abad","In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths0","FemaleBooths2","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",135,,,,Ali Raza Abad,261010743,,0,29,29,,,0,Female
"",135,,,Ali Raza Abad,261010744,,0,42,42,0,Female,,,
"",135,,,Ali Raza Abad,261010705,,0,1,1,0,Female,,,
"",135,,,Ali Raza Abad,261010745,,0,15,15,0,Female,,,
"",135,,,Ali Raza Abad,261010746,,0,26,26,0,Female,,,
"",135,,,Ali Raza Abad,261010747,,0,47,47,0,Female,,,
"",135,,,Ali Raza Abad,261010748,,0,50,50,0,Female,,,
"",135,,,Ali Raza Abad,261010749,,0,5,5,0,Female,,,
"",135,,,"#N/A",,,,,0,0,Female,,,
"",135 Total,,,,,,,0,331,331,0,2,2,
"",136,"Government Boys High School Ali Raza AbadLahore (Permanent) ()",,,Ali Raza Abad,261010702,,302,0,302,2,0,2,Male
"",136,,,Ali Raza Abad,261010727,,146,0,146,0,Male,,,
"",136,,,Ali Raza Abad,261010728,,153,0,153,0,Male,,,
"",136,,,Ali Raza Abad,261010703,,121,0,121,0,Male,,,
"",136,,,Ali Raza Abad,261010729,,228,0,228,0,Male,,,
"",136,,,Ali Raza Abad,261010730,,226,0,226,0,Male,,,
"",136 Total,,,,,,,1176,0,1176,2,0,2,
"",137,"Government Boys High School Ali Raza Abad,Lahore. (Permanent) ()",,,Ali Raza Abad,261010702,,0,233,233,0,2,2,Female
"",137,,,Ali Raza Abad,261010727,,0,127,127,0,Female,,,
"",137,,,Ali Raza Abad,261010728,,0,114,114,0,Female,,,
"",137,,,Ali Raza Abad,261010703,,0,84,84,0,Female,,,
"",137,,,Ali Raza Abad,261010729,,0,128,128,0,Female,,,
"",137,,,Ali Raza Abad,261010730,,0,228,228,0,Female,,,
"",137 Total,,,,,,,0,914,914,0,2,2,
"",138,"Govt. Boys P/S, Barkat Pura",,,"Kachi Kothi - AzeemAbad",261010706,,543,0,543,2,0,2,Male
"",138,,,"Kachi Kothi - AzeemAbad",261010751,,49,0,49,0,Male,,,
"",138,,,"Kachi Kothi - AzeemAbad",261010752,,39,0,39,0,Male,,,
"",138,,,"Kachi Kothi - AzeemAbad",261010753,,48,0,48,0,Male,,,
"",138,,,"Kachi Kothi - AzeemAbad",261010754,,73,0,73,0,Male,,,
"",138,,,"Kachi Kothi - AzeemAbad",261010755,,52,0,52,0,Male,,,
"",138,,,"Kachi Kothi - AzeemAbad",261010707,,146,0,146,0,Male,,,
"",138,,,"Kachi Kothi - AzeemAbad",261010756,,42,0,42,0,Male,,,
"",138,,,"Kachi Kothi - AzeemAbad",261010757,,46,0,46,0,Male,,,
"",138,,,"Kachi Kothi - AzeemAbad",261010758,,98,0,98,0,Male,,,
138 Total,,,,,,,1136,0,1136,2,0,2,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
139,"Govt. Boys P/S, Barkat Pura",,,"Kachi Kothi - AzeemAbad",261010706,,0,470,470,0,2,2,Female
139,,,"Kachi Kothi - AzeemAbad",261010751,,0,51,51,0,Female,,,
139,,,"Kachi Kothi - AzeemAbad",261010752,,0,20,20,0,Female,,,
139,,,"Kachi Kothi - AzeemAbad",261010753,,0,34,34,0,Female,,,
139,,,"Kachi Kothi - AzeemAbad",261010754,,0,50,50,0,Female,,,
139,,,"Kachi Kothi - AzeemAbad",261010755,,0,47,47,0,Female,,,
139,,,"Kachi Kothi - AzeemAbad",261010707,,0,86,86,0,Female,,,
139,,,"Kachi Kothi - AzeemAbad",261010756,,0,34,34,0,Female,,,
139,,,"Kachi Kothi - AzeemAbad",261010757,,0,40,40,0,Female,,,
139,,,"Kachi Kothi - AzeemAbad",261010758,,0,72,72,0,Female,,,
139 Total,,,,,,,0,904,904,0,2,2,
140,"Government Boys Primary School Kachi KhotiLahore. (Permanent)  ()",,,"Raheem Abad ShabirAmam colony",261010708,,1098,0,1098,4,0,4,Male
140,,,"Raheem Abad ShabirAmam colony",261010759,,295,0,295,0,Male,,,
140,,,"Raheem Abad ShabirAmam colony",261010760,,0,0,0,0,Male,,,
140,,,"Raheem Abad ShabirAmam colony",261010761,,6,0,6,0,Male,,,
140,,,"Raheem Abad ShabirAmam colony",261010762,,0,0,0,0,Male,,,
140,,,"Raheem Abad ShabirAmam colony",261010768,,0,0,0,0,Male,,,
140,,,"Raheem Abad ShabirAmam colony",261010769,,0,0,0,0,Male,,,
140,,,"Raheem Abad ShabirAmam colony",261010770,,110,0,110,0,Male,,,
140,,,"Raheem Abad ShabirAmam colony",261010709,,125,0,125,0,Male,,,
140,,,"Raheem Abad ShabirAmam colony",261010771,,25,0,25,0,Male,,,
140,,,"Raheem Abad ShabirAmam colony",261010772,,146,0,146,0,Male,,,
"",S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",141,"Government Boys Primary School Kachi KhotiLahore (Permanent) ()",,,"Raheem Abad ShabirAmam colony",261010708,,0,545,545,0,4,4,Female
"",141,,,"Raheem Abad ShabirAmam colony",261010759,,0,194,194,0,Female,,,
"",141,,,"Raheem Abad ShabirAmam colony",261010760,,0,0,0,0,Female,,,
"",141,,,"Raheem Abad ShabirAmam colony",261010761,,0,2,2,0,Female,,,
"",141,,,"Raheem Abad ShabirAmam colony",261010762,,0,0,0,0,Female,,,
"",141,,,"Raheem Abad ShabirAmam colony",261010768,,0,0,0,0,Female,,,
"",141,,,"Raheem Abad ShabirAmam colony",261010769,,0,0,0,0,Female,,,
"",141,,,"Raheem Abad ShabirAmam colony",261010770,,0,219,219,0,Female,,,
"",141,,,"Raheem Abad ShabirAmam colony",261010709,,0,42,42,0,Female,,,
"",141,,,"Raheem Abad ShabirAmam colony",261010771,,0,56,56,0,Female,,,
"",141,,,"Raheem Abad ShabirAmam colony",261010772,,0,220,220,0,Female,,,
