S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
355,"Girls Primary School70/4 -RAdda Shabee (Combined)",70/4 -R,208040302,-,-,-,260,270,530,1,1,2
355,,70/4 -R,208040303,-,-,-,248,181,429,,,
355 Total,,,,,,,508,451,959,,,
356,"Boys primary School70/4 -R (Male)",70/4 -R,208040304,-,-,-,445,0,445,2,0,2
356,,70/4 -R,208040305,-,-,-,398,0,398,,,
356,,70/4 -R,208040306,-,-,-,282,0,282,,,
356 Total,,,,,,,1125,0,1125,,,
357,"Govt.Girls Elementary School70/4 -R (Female)",70/4 -R,208040304,-,-,-,0,324,324,0,2,2
357,,70/4 -R,208040305,-,-,-,0,331,331,,,
357,,70/4 -R,208040306,-,-,-,0,212,212,,,
357 Total,,,,,,,0,867,867,,,
358,Boys primary School  Kore Shah  Zareen  (Male),Kore Shah  Zareen,208040104,-,-,-,711,0,711,3,0,3
358,,Kore Shah  Zareen,208040105,-,-,-,438,0,438,,,
358,,Kore Shah  Zareen,208040106,-,-,-,372,0,372,,,
358 Total,,,,,,,1521,0,1521,,,
359,Girls Primary School Kore Shah  Zareen (Female),Kore Shah  Zareen,208040104,-,-,-,0,448,448,0,2,2
359,,Kore Shah  Zareen,208040105,-,-,-,0,288,288,,,
359,,Kore Shah  Zareen,208040106,-,-,-,0,242,242,,,
359 Total,,,,,,,0,978,978,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
360,,Kore Shah  Zareen,208040108,-,-,-,347,231,578,,,
360 Total,,,,,,,815,523,1338,,,
361,Boys primary School  Dadan (Combined),kund alam shah,208040101,-,-,-,19,8,27,1,1,2
361,,ahmed shah,208040102,-,-,-,199,141,340,,,
361,,Dadan,208040103,-,-,-,434,310,744,,,
361 Total,,,,,,,652,459,1111,,,
362,"Boys Primary  School81/5-L(Combined)",81/5 -L,208020501,-,-,-,152,103,255,1,1,2
362,,81/5 -L,208020502,-,-,-,416,315,731,,,
362 Total,,,,,,,568,418,986,,,
363,"Govt.Girls Middle School82/5 -L  (Male)",82/5 -L,208020503,-,-,-,339,0,339,2,0,2
363,,82/5 -L,208020504,-,-,-,499,0,499,,,
363,,82/5 -L,208020505,-,-,-,248,0,248,,,
363 Total,,,,,,,1086,0,1086,,,
364,"Govt.Girls Middle School82/5 -L  (Female)",82/5 -L,208020503,-,-,-,0,257,257,0,2,2
364,,82/5 -L,208020504,-,-,-,0,417,417,,,
364,,82/5 -L,208020505,-,-,-,0,172,172,,,
364 Total,,,,,,,0,846,846,,,
365,"Boys High School–I    85/6 -R      (Male)",-,-,85/6-R,208091104,-,67,0,67,2,0,2
365,,-,-,85/6-R,208091106,-,343,0,343,,,
365,,-,-,85/6-R,208091303,-,13,0,13,,,
365,,-,-,85/6-R,208091304,-,247,0,247,,,
365,,-,-,85/6-R,208091305,-,98,0,98,,,
365,,-,-,85/6-R,208091306,-,23,0,23,,,
365 Total,,,,,,,791,0,791,,,
366,Boys High School  –I    85/6 -R      (Male),-,-,85/6-R,208091105,-,1890,0,1890,3,0,3
366 Total,,,,,,,1890,0,1890,,,
367,"Girls Middle School    85/6-R New Building  - I(Female)",-,-,85/6-R,208091204,-,0,0,0,0,2,2
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
367,,-,-,85/6-R,208091301,-,0,286,286,,,
367,,-,-,85/6-R,208091302,-,0,620,620,,,
367,,-,-,85/6-R,208091303,-,0,8,8,,,
367,,-,-,85/6-R,208091304,-,0,229,229,,,
367,,-,-,85/6-R,208091305,-,0,74,74,,,
367,,-,-,85/6-R,208091306,-,0,6,6,,,
367 Total,,,,,,,0,1227,1227,,,
368,"Girls Middle School 85/6-R New building(Female)",-,-,85/6-R,208091104,-,0,68,68,0,4,4
368,,-,-,85/6-R,208091105,-,0,1579,1579,,,
368,,-,-,85/6-R,208091106,-,0,296,296,,,
368 Total,,,,,,,0,1943,1943,,,
369,Boys High School  85/6--R I     (Male),-,-,85/6R,208091103,-,337,0,337,3,0,3
369,,-,-,85/6-R,208091204,-,0,0,0,,,
369,,-,-,85/6-R,208091206,-,15,0,15,,,
369,,-,-,85/6-R,208091301,-,751,0,751,,,
369,,-,-,85/6-R,208091302,-,308,0,308,,,
369,,-,-,85/6R,208091401,-,0,0,0,,,
369,,-,-,85/6R,208091402,-,0,0,0,,,
369 Total,,,,,,,1411,0,1411,,,
370,"Girls Middle School   85/6-R New building    -II(Female)",-,-,85/6-R,208091403,-,0,172,172,0,2,2
370,,-,-,85/6-R,208091404,-,0,862,862,,,
370,,-,-,85/6-R,208091405,-,0,68,68,,,
370 Total,,,,,,,0,1102,1102,,,
371,"Girls Middle School   85/6-R New building    -II(Female)",-,-,85/6R,208091103,-,0,242,242,0,2,2
371,,-,-,85/6-R,208091205,-,0,518,518,,,
371,,-,-,85/6R,208091401,-,0,0,0,,,
371,,-,-,85/6R,208091402,-,0,0,0,,,
371 Total,,,,,,,0,760,760,,,
372,Boys High School 85/6-R  (Male),-,-,85/6-R,208091403,-,247,0,247,2,0,2
372,,-,-,85/6-R,208091404,-,999,0,999,,,
372,,-,-,85/6-R,208091405,-,86,0,86,,,
372 Total,,,,,,,1332,0,1332,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
373,,-,-,85/6-R,208091005,-,222,0,222,,,
373,,-,-,85/6-R,208091006,-,590,0,590,,,
373 Total,,,,,,,1034,0,1034,,,
374,"Boys High School85/6-R         (Male)",-,-,85/6-R,208091001,-,485,0,485,3,0,3
374,,-,-,85/6-R,208091002,-,408,0,408,,,
374,,-,-,85/6-R,208091003,-,658,0,658,,,
374 Total,,,,,,,1551,0,1551,,,
375,"Boys High School85/6-R   (Female)",-,-,85/6-R,208091001,-,0,32,32,0,2,2
375,,-,-,85/6-R,208091002,-,0,321,321,,,
375,,-,-,85/6-R,208091003,-,0,840,840,,,
375 Total,,,,,,,0,1193,1193,,,
376,"Girls Primary School Kot Khadam-85/6-R-V GaliNo:6(Male)",-,-,85/6-R,208091201,-,770,0,770,3,0,3
376,,-,-,85/6-R,208091202,-,183,0,183,,,
376,,-,-,85/6-R,208091203,-,170,0,170,,,
376,,-,-,85/6-R,208091205,-,634,0,634,,,
376 Total,,,,,,,1757,0,1757,,,
377,Girls Primary School Kot Farid-85/6-R    VI     (Male),-,-,85/6-R,208090902,-,310,0,310,2,0,2
377,,-,-,85/6-R,208090903,-,85,0,85,,,
377,,-,-,85/6-R,208090904,-,330,0,330,,,
377,,-,-,85/6-R,208090905,-,386,0,386,,,
377,,-,-,85/6-R,208090906,-,10,0,10,,,
377 Total,,,,,,,1121,0,1121,,,
378,"Boys Primary School No. 1 Kot Allah Din 85/6-R    VII(Male)",-,-,85/6-R,208090901,-,408,0,408,3,0,3
378,,-,-,85/6-R,208091101,-,562,0,562,,,
378,,-,-,85/6-R,208091102,-,458,0,458,,,
378 Total,,,,,,,1428,0,1428,,,
379,"Boys Primary School No. 1 Kot Allah Din 85/6-R(Female)",-,-,85/6-R,208090902,-,0,178,178,0,2,2
379,,-,-,85/6-R,208090903,-,0,53,53,,,
379,,-,-,85/6-R,208090904,-,0,427,427,,,
379,,-,-,85/6-R,208090905,-,0,379,379,,,
379,,-,-,85/6-R,208090906,-,0,15,15,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
380,"Girls Primary School  Kot Allah Din No.1-85/6-R  - IV(Female)",-,-,85/6-R,208090901,-,0,335,335,0,2,2
380,,-,-,85/6-R,208091101,-,0,475,475,,,
380,,-,-,85/6-R,208091102,-,0,365,365,,,
380 Total,,,,,,,0,1175,1175,,,
381,"Girls Primary School No. 2Kot Allah Din,85/6-R   -VI     (Female)",-,-,85/6-R,208091201,-,0,702,702,0,2,2
381,,-,-,85/6-R,208091202,-,0,152,152,,,
381,,-,-,85/6-R,208091203,-,0,168,168,,,
381 Total,,,,,,,0,1022,1022,,,
382,"Girls Primary School No. 2Kot Allah Din,85/6-R   -VI     (Female)",-,-,85/6-R,208091004,-,0,180,180,0,2,2
382,,-,-,85/6-R,208091005,-,0,157,157,,,
382,,-,-,85/6-R,208091006,-,0,469,469,,,
382 Total,,,,,,,0,806,806,,,
383,"Boys  High School86/6 -R  -I      (Male)",-,-,86/6 -R,208100901,-,428,0,428,3,0,3
383,,-,-,86/6 -R,208100902,-,400,0,400,,,
383,,-,-,86/6 -R,208100904,-,510,0,510,,,
383,,-,-,86/6 -R,208100905,-,0,0,0,,,
383 Total,,,,,,,1338,0,1338,,,
384,"Boys  High School  86/6 -R(Male)",-,-,86/6 -R,208100903,-,450,0,450,2,0,2
384,,-,-,86/6 -R,208101001,-,119,0,119,,,
384,,-,-,86/6 -R,208101002,-,181,0,181,,,
384 Total,,,,,,,750,0,750,,,
385,Boys  High School  86/6 -R      (Male),-,-,86/6 -R,208101005,-,463,0,463,2,0,2
385,,-,-,86/6 -R,208101006,-,703,0,703,,,
385 Total,,,,,,,1166,0,1166,,,
386,"Boys  High School  86/6 -R(Male)",-,-,86/6 -R,208100906,-,135,0,135,3,0,3
386,,-,-,86/6 -R,208100907,-,129,0,129,,,
386,,-,-,86/6 -R,208100908,-,209,0,209,,,
386,,-,-,86/6 -R,208101003,-,640,0,640,,,
386,,-,-,86/6 -R,208101004,-,412,0,412,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
387,"Boys  High School86/6 -R            (Male)",-,-,86/6 -R,208101105,-,455,0,455,2,0,2
387,,-,-,86/6 -R,208101106,-,310,0,310,,,
387 Total,,,,,,,765,0,765,,,
388,Boys  High School   86/6 -R            (Male),-,-,86/6 -R,208101201,-,123,0,123,2,0,2
388,,-,-,86/6 -R,208101202,-,49,0,49,,,
388,,-,-,86/6 -R,208101203,-,172,0,172,,,
388,,-,-,86/6 -R,208101204,-,176,0,176,,,
388,,-,-,86/6 -R,208101205,-,156,0,156,,,
388,,-,-,86/6 -R,208101206,-,220,0,220,,,
388 Total,,,,,,,896,0,896,,,
389,"Boys  High School86/6 -R           (Male)",-,-,86/6 -R,208101101,-,372,0,372,3,0,3
389,,-,-,86/6 -R,208101102,-,362,0,362,,,
389,,-,-,86/6 -R,208101103,-,322,0,322,,,
389,,-,-,86/6 -R,208101104,-,488,0,488,,,
389 Total,,,,,,,1544,0,1544,,,
390,"Girls  High School  86/6 -R(Female)",-,-,86/6 -R,208100901,-,0,377,377,0,3,3
390,,-,-,86/6 -R,208100902,-,0,322,322,,,
390,,-,-,86/6 -R,208100904,-,0,451,451,,,
390,,-,-,86/6 -R,208100905,-,0,0,0,,,
390 Total,,,,,,,0,1150,1150,,,
391,"Girls  High School86/6 -R         (Female)",-,-,86/6 -R,208100903,-,0,359,359,0,3,3
391,,-,-,86/6 -R,208101001,-,0,106,106,,,
391,,-,-,86/6 -R,208101002,-,0,142,142,,,
391,,-,-,86/6 -R,208101005,-,0,452,452,,,
391,,-,-,86/6 -R,208101006,-,0,463,463,,,
391 Total,,,,,,,0,1522,1522,,,
392,"Girls  High School  86/6 -R(Female)",-,-,86/6 -R,208100906,-,0,161,161,0,3,3
392,,-,-,86/6 -R,208100907,-,0,80,80,,,
392,,-,-,86/6 -R,208100908,-,0,170,170,,,
392,,-,-,86/6 -R,208101003,-,0,532,532,,,
392,,-,-,86/6 -R,208101004,-,0,371,371,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
393,"Girls  High School86/6 -R     (Female)",-,-,86/6 -R,208101105,-,0,367,367,0,3,3
393,,-,-,86/6 -R,208101106,-,0,237,237,,,
393,,-,-,86/6 -R,208101201,-,0,63,63,,,
393,,-,-,86/6 -R,208101202,-,0,64,64,,,
393,,-,-,86/6 -R,208101203,-,0,117,117,,,
393,,-,-,86/6 -R,208101204,-,0,146,146,,,
393,,-,-,86/6 -R,208101205,-,0,170,170,,,
393,,-,-,86/6 -R,208101206,-,0,146,146,,,
393 Total,,,,,,,0,1310,1310,,,
394,"Girls  High  School86/6 -R     (Female)",-,-,86/6 -R,208101101,-,0,310,310,0,2,2
394,,-,-,86/6 -R,208101102,-,0,266,266,,,
394,,-,-,86/6 -R,208101103,-,0,191,191,,,
394,,-,-,86/6 -R,208101104,-,0,345,345,,,
394 Total,,,,,,,0,1112,1112,,,
395,Govt.  High School          89/6-R  Ali Gharh(Combined),89/6-R,208010601,-,-,-,346,305,651,1,1,2
395,,89/6-R,208010608,-,-,-,218,173,391,,,
395 Total,,,,,,,564,478,1042,,,
396,"Girls Higher Secondary  School89/6-R     (Combined)",89/6-R,208010602,-,-,-,803,654,1457,2,1,3
396 Total,,,,,,,803,654,1457,,,
397,Govt.  High School          89/6-R  Ali Gharh(Male),89/6-R,208010605,-,-,-,532,0,532,3,0,3
397,,89/6-R,208010606,-,-,-,228,0,228,,,
397,,89/6-R,208010607,-,-,-,732,0,732,,,
397 Total,,,,,,,1492,0,1492,,,
398,Govt.  High School          89/6-R  Ali Gharh(Female),89/6-R,208010605,-,-,-,0,569,569,0,3,3
398,,89/6-R,208010606,-,-,-,0,142,142,,,
398,,89/6-R,208010607,-,-,-,0,584,584,,,
398 Total,,,,,,,0,1295,1295,,,
399,Girls Higher Secondary  School  89/6-R     (Female),89/6-R,208010603,-,-,-,0,339,339,0,2,2
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
399 Total,,,,,,,0,983,983,,,
400,"Girls Higher Secondary  School89/6-R     (Male)",89/6-R,208010603,-,-,-,483,0,483,2,0,2
400,,89/6-R,208010604,-,-,-,614,0,614,,,
400 Total,,,,,,,1097,0,1097,,,
401,"Boys Middle School93/6-R     (Male)",-,-,93/6-R,208101301,-,293,0,293,3,0,3
401,,-,-,93/6-R,208101307,-,965,0,965,,,
401,,-,-,93/6-R,208101308,-,127,0,127,,,
401 Total,,,,,,,1385,0,1385,,,
402,Boys Middle School  93/6- R   I     (Male),-,-,93/6-R,208101302,-,808,0,808,4,0,4
402,,-,-,93/6-R,208101303,-,244,0,244,,,
402,,-,-,93/6-R,208101304,-,42,0,42,,,
402,,-,-,93/6-R,208101305,-,160,0,160,,,
402,,-,-,93/6-R,208101306,-,233,0,233,,,
402 Total,,,,,,,1487,0,1487,,,
403,"Girls Middle School93/6-R    (Female)",-,-,93/6-R,208101301,-,0,233,233,0,2,2
403,,-,-,93/6-R,208101307,-,0,748,748,,,
403,,-,-,93/6-R,208101308,-,0,102,102,,,
403 Total,,,,,,,0,1083,1083,,,
404,Girls Middle School  93/6-R    (Female),-,-,93/6-R,208101302,-,0,589,589,0,2,2
404,,-,-,93/6-R,208101303,-,0,116,116,,,
404,,-,-,93/6-R,208101304,-,0,68,68,,,
404,,-,-,93/6-R,208101305,-,0,150,150,,,
404,,-,-,93/6-R,208101306,-,0,198,198,,,
404 Total,,,,,,,0,1121,1121,,,
405,"Boys Middle School  95/6-R(Male)",-,-,95/6-R,208101405,-,153,0,153,3,0,3
405,,-,-,95/6-R,208101501,-,282,0,282,,,
405,,-,-,95/6-R,208101502,-,919,0,919,,,
405,,-,-,95/6-R,208101503,-,217,0,217,,,
405 Total,,,,,,,1571,0,1571,,,
406,"Boys Middle School  95/6-R(Male)",-,-,95/6-R,208101401,-,430,0,430,2,0,2
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
406,,-,-,95/6-R,208101403,-,51,0,51,,,
406,,-,-,95/6-R,208101404,-,124,0,124,,,
406,,-,-,95/6-R,208101504,-,113,0,113,,,
406,,-,-,95/6-R,208101505,-,151,0,151,,,
406,,-,-,95/6-R,208101506,-,40,0,40,,,
406 Total,,,,,,,1164,0,1164,,,
407,"Girls Community Model Elementary School,   95/6-R(Female)",-,-,95/6-R,208101405,-,0,109,109,0,3,3
407,,-,-,95/6-R,208101501,-,0,209,209,,,
407,,-,-,95/6-R,208101502,-,0,783,783,,,
407,,-,-,95/6-R,208101503,-,0,172,172,,,
407 Total,,,,,,,0,1273,1273,,,
408,"Girls Community Model Elementary School,   95/6-R(Female)",-,-,95/6-R,208101401,-,0,330,330,0,2,2
408,,-,-,95/6-R,208101402,-,0,183,183,,,
408,,-,-,95/6-R,208101403,-,0,50,50,,,
408,,-,-,95/6-R,208101404,-,0,95,95,,,
408,,-,-,95/6-R,208101504,-,0,92,92,,,
408,,-,-,95/6-R,208101505,-,0,129,129,,,
408,,-,-,95/6-R,208101506,-,0,26,26,,,
408 Total,,,,,,,0,905,905,,,
409,"Girls Elermentary School96/9 -L  (Combined)",96/9 -L,208010101,-,-,-,420,325,745,1,1,2
409,,96/9 -L,208010102,-,-,-,263,201,464,,,
409 Total,,,,,,,683,526,1209,,,
410,"Girls Elermentary School96/9 -L   (Combined)",96/9 -L,208010103,-,-,-,358,278,636,2,2,4
410,,96/9 -L,208010104,-,-,-,610,430,1040,,,
410 Total,,,,,,,968,708,1676,,,
411,"Govt.Middle School96/9 -L (Combined)",96/9 -L,208010105,-,-,-,327,249,576,2,1,3
411,,96/9 -L,208010106,-,-,-,384,297,681,,,
411 Total,,,,,,,711,546,1257,,,
412,"Boys  High School95/9 -L    (Male)",95/9 -L,208010501,-,-,-,540,0,540,3,0,3
412,,95/9 -L,208010502,-,-,-,521,0,521,,,
412,,95/9 -L,208010503,-,-,-,349,0,349,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
413,Boys  High School   95/9 -L    (Female),95/9 -L,208010501,-,-,-,0,477,477,0,3,3
413,,95/9 -L,208010502,-,-,-,0,420,420,,,
413,,95/9 -L,208010503,-,-,-,0,286,286,,,
413 Total,,,,,,,0,1183,1183,,,
414,"Girls  Primary School97/9 -L (Combined)",97/9 -L,208010504,-,-,-,383,329,712,2,2,4
414,,97/9 -L,208010505,-,-,-,439,298,737,,,
414 Total,,,,,,,822,627,1449,,,
415,"Girls  Primary School97/9 -L (Combined)",97/9 -L,208010506,-,-,-,453,312,765,1,1,2
415 Total,,,,,,,453,312,765,,,
416,"Girls Middle School86/ 9 -L    (Male)",86/ 9 -L,208010901,-,-,-,543,0,543,3,0,3
416,,86/ 9 -L,208010902,-,-,-,527,0,527,,,
416,,86/ 9 -L,208010903,-,-,-,483,0,483,,,
416 Total,,,,,,,1553,0,1553,,,
417,"Girls Middle School 86/ 9 -L(Female)",86/ 9 -L,208010901,-,-,-,0,468,468,0,3,3
417,,86/ 9 -L,208010902,-,-,-,0,409,409,,,
417,,86/ 9 -L,208010903,-,-,-,0,396,396,,,
417 Total,,,,,,,0,1273,1273,,,
418,"Govt.Girls Elementary School93/9 -L  (Combined)",93/9 -L,208010904,-,-,-,640,510,1150,2,1,3
418 Total,,,,,,,640,510,1150,,,
419,"Boys  Primary School93/9 -L (Combined)",93/9 -L,208010905,-,-,-,491,366,857,2,2,4
419,,93/9 -L,208010906,-,-,-,432,334,766,,,
419 Total,,,,,,,923,700,1623,,,
420,Govt. Boys Primary School 89/9-L (Combined),89/9-L,208010909,-,-,-,44,44,88,1,1,2
420,,89/9-L,208010910,-,-,-,308,230,538,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
420,,89/9-L,208010912,-,-,-,30,26,56,,,
420 Total,,,,,,,458,346,804,,,
421,"Govt.Elementary School94/9 -L   (Male)",94/9 -L,208010907,-,-,-,654,0,654,2,0,2
421,,94/9 -L,208010908,-,-,-,529,0,529,,,
421 Total,,,,,,,1183,0,1183,,,
422,"Govt.Elementary School94/9 -L   (Female)",94/9 -L,208010907,-,-,-,0,548,548,0,2,2
422,,94/9 -L,208010908,-,-,-,0,469,469,,,
422 Total,,,,,,,0,1017,1017,,,
