ELECTION COMMISSION OF PAKISTAN,,,,,,,,,,,,
FORM-28,,,,,,,,,,,,
LIST OF POLLING STATION FOR A CONSTITUENCY,,,,,,,,,,,,
"",,,,,,,,,,,,
Election to the    *National Assembly,,,,,,,,,,,,
Provincial Assembly of the Punjab,,,,,,,,,,,,
No. and name of constituency      PP-46-NWL-I,,,,,,,,,,,,
"Sr.No","No. and name ofpolling station.",In case of rural areas,In case of urban areas,"S.No. ofvoters on theelectoral roll",Number of voters assigned,Number of polling booths.,,,,,,
26,26-Boys P/S Trial(Combined)(P),Kokar,184041006,,,,157,86,243,,,
"",,Aima Seikhan,184041008,,,,49,28,77,,,
"",,Trail,184041404,,,,310,210,520,,,
"",,Paswal,184041406,,,,219,158,377,,,
"",,Mamian,184041407,,,,138,87,225,,,
"",,,Total:-,,,,873,569,1442,2,1,3
27,27-Boys P/S Sajowal. (Combined)(P),Sojowal,184041101,,,,674,465,1139,,,
"",,Meer pur Jhugian,184041104,,,,46,37,83,,,
"",,,Total:-,,,,720,502,1222,1,1,2
28,"28-Govt.Girls P/S Mehtpur(Combined)(P)","ChanniBahdarsingh",184041102,,,,65,24,89,,,
"",,Jhanda,184041103,,,,77,58,135,,,
"",,kharlohey,184041105,,,,264,214,478,,,
"",,Mehtpur,184041106,,,,236,167,403,,,
"",,Lalwan,184041205,,,,385,272,657,,,
"",,Khatail,184041107,,,,84,45,129,,,
"",,,Total:-,,,,1111,780,1891,2,2,4
29,29-Boys P/S Loankh (Combined)(P),Chhar,184041201,,,,445,327,772,,,
"",,Chak Atlah,184041203,,,,132,71,203,,,
"",,Lanwankh,184041204,,,,370,237,607,,,
"",,,Total:-,,,,947,635,1582,2,1,3
30,30-Boys M/S Lalian. (Combined)(P),Lalian,184041202,,,,714,535,1249,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,714,535,1249,1,1,2
31,"31-Govt. Boys P/S chakEaser/Bopa(Male)(P)",Chak Eiser Bhopa,184041301,,,,582,,582,,,
"",,Chak Eiser Bhopa,184041302,,,,567,,567,,,
"",,Ilyas Pur,184041304,,,,95,,95,,,
"",,Khadyal,184041303,,,,71,,91,,,
"",,,Total:-,,,,1315,,1315,3,,3
32,"32-Govt. Girls P/S chakEaser/Bopa(Female)(P)",Chak Eiser Bhopa,184041301,,,,,378,378,,,
"",,Chak Eiser Bhopa,184041302,,,,,391,391,,,
"",,Ilyas Pur,184041304,,,,,58,58,,,
"",,Khadyal,184041303,,,,,50,91,,,
"",,,Total:-,,,,,877,877,,2,2
"",,,,,,,,,,,,
33,33-Girls P/S Joday (Combined)(P),Kanwal Jattan,184041408,,,,307,187,494,,,
"",,Joday,184041409,,,,705,441,1146,,,
"",,Heer Jattan,184041602,,,,0,0,0,,,
"",,,Total:-,,,,1012,628,1640,2,1,3
34,34-Boys P/S Kot Nainan (Combined)(P),Kot Nainan,184041401,,,,717,537,1254,,,
"",,Kot Nainan,184041402,,,,358,267,625,,,
"",,,Total:-,,,,1075,804,1879,2,2,4
"",,,,,,,,,,,,
35,35-G P/S Darya Gujran (Combined)(P),Kot Doaba,184041501,,,,199,113,312,,,
"",,Chokhri,184041503,,,,0,0,0,,,
"",,Jogial,184041701,,,,116,48,164,,,
"",,Darya Gujran,184041702,,,,71,33,104,,,
"",,Sheikhpur Malahan,184041704,,,,18,8,26,,,
"",,"Moranwala,B.C",184041504,,,,0,0,0,,,
"",,"Moranwali,B.C",184041505,,,,0,0,0,,,
"",,Sokha(B.C),184041506,,,,0,0,0,,,
"",,"Dera Afganan,B.C",184041703,,,,0,0,0,,,
"",,"Sogra,B.C",184041705,,,,0,0,0,,,
"",,,Total:-,,,,404,202,606,1,1,2
36,"36-Boys P/S Haryal Pakhwal(Combined)(P)",Haryal Pakhral,184041801,,,,760,572,1332,,,
"",,Atyal,184041802,,,,0,1,1,,,
"",,,Total:-,,,,760,573,1333,2,1,3
37,37-Boys P/S Fatoi Chak (Combined)(P),Fatoi Chak,184050101,,,,514,269,783,,,
"",,"Jarmania MalaSingha",184050102,,,,42,22,64,,,
"",,Jarmanian Chanda,184050103,,,,71,41,112,,,
"",,Jarmania Sangha,184050104,,,,37,39,76,,,
"",,"Kalla,B.C",184050105,,,,48,20,68,,,
"",,Mana Khera,184050205,,,,28,18,46,,,
"",,"Khasa Wadala,B.C",184050301,,,,0,0,0,,,
"",,Chani Tikka.BC,184050302,,,,0,0,0,,,
"",,"Takhat pur,B.C",184050303,,,,5,3,8,,,
"",,Chani Gujran.BC,184050304,,,,6,1,7,,,
"",,"Kana Kounta,B.C",184050501,,,,0,0,0,,,
"",,"Bajlowal,B.C",184050502,,,,0,0,0,,,
"",,"Korotana,B.C",184050503,,,,0,0,0,,,
"",,"Barowal,B.C",184050504,,,,0,0,0,,,
"",,Khanpur Afgana.B.C,184050505,,,,1,0,1,,,
"",,Dera Noormalik,184050506,,,,247,193,440,,,
"",,"Basuo kot,B.C",184051601,,,,147,92,239,,,
"",,"Dhandwal,B.C",184051602,,,,0,0,0,,,
"",,"Ram Betri,B.C",184051603,,,,0,0,0,,,
"",,"Bhabra,B.C",184051304,,,,1,0,1,,,
"",,,Total:-,,,,1147,698,1845,2,2,4
38,38-G P/S Walipur Bora (Combined)(P),Dhingar,184050201,,,,81,44,125,,,
"",,Walipur Bora,184050202,,,,360,234,594,,,
"",,Walipur Bora,184050203,,,,247,156,403,,,
"",,,Total:-,,,,688,434,1122,1,1,2
39,"39-Govt.Girls  P/S Kalo Khera.(Combined)(P)",Kalo Khera,184050204,,,,311,170,481,,,
"",,Sad khera,184050206,,,,88,39,127,,,
"",,,Total:-,,,,399,209,608,1,1,2
40,40-Govt. Girls P/S Kallah (Combined)(P),Kallah,184050401,,,,1043,780,1823,,,
"",,Kallah,184050402,,,,56,27,83,,,
"",,,Total:-,,,,1099,807,1906,2,2,4
41,41-Girls M/S Mir Pur (Combined)(P),Saadullah Pur,184050403,,,,154,118,272,,,
"",,Mir Pur,184050406,,,,470,331,801,,,
"",,,Total:-,,,,624,449,1073,1,1,2
42,"42-Goivt. Boys Primary SchoolSaraj(Combined)",Saraj,184050405,,,,433,382,815,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,433,382,815,1,1,2
"",,Thekerian,184050408,,,,350,270,620,,,
"",,,Total:-,,,,895,679,1574,2,2,4
44,44-Girls P/S Nathukot (Combined) (P),Kalachechi,184050407,,,,377,257,634,,,
"",,Nathukot,184050809,,,,349,283,632,,,
"",,Katarian,184050810,,,,267,234,501,,,
"",,,Total:-,,,,993,774,1767,2,2,4
45,"45-Govt.Boys E/S Maingri. (Combined)(P)",Noor Kot,184050601,,,,174,150,324,,,
"",,Mansoora,184050604,,,,609,546,1155,,,
"",,,Total:-,,,,783,696,1479,2,2,4
46,"46-Govt. Boys Higher Secondary SchoolMaingri(Male)",Noor Kot,184050602,,,,895,,895,,,
"",,Noor Kot,184050603,,,,609,,609,,,
"",,,Total:-,,,,1504,,1504,3,,3
47,"47-Govt. Boys Higher Secondary SchoolMaingri(Female)",Noor Kot,184050602,,,,,810,810,,,
"",,Noor Kot,184050603,,,,,507,507,,,
"",,,Total:-,,,,,1317,1317,,3,3
48,"48-Boys Higher Secondry SchoolMaingri(Male)P)",Maingri,184050608,,,,746,,746,,,
"",,Maingri,184050610,,,,374,,374,,,
"",,Maingri,184050609,,,,500,,500,,,
"",,,Total:-,,,,1620,,1620,4,,4
"",,,,,,,,,,,,
49,49-Girls H/S Maingri(Female)P),Maingri,184050608,,,,,714,714,,,
"",,Maingri,184050610,,,,,312,312,,,
"",,Maingri,184050609,,,,,446,446,,,
"",,,Total:-,,,,,1472,1472,,3,3
"",,,,,,,,,,,,
50,50-Girls P/S Dial Pur (Combined)(P),Dial Pur,184050607,,,,376,280,656,,,
"",,Bhagwan Pur,184051504,,,,193,131,324,,,
"",,,Total:-,,,,569,411,980,1,1,2
51,51-Boys P/S Bara Manga (Combined)(P),Baramanga Block.1,184050701,,,,762,511,1273,,,
"",,,,,,,,,0,,,
"",,,Total:-,,,,762,511,1273,2,1,3
52,"52-Boys H/S Bara Manga Block No.2(Combined)(P)",Baramanga Block.2,184050702,,,,523,347,870,,,
"",,Baramanga Block.3,184050703,,,,359,192,551,,,
"",,,Total:-,,,,882,539,1421,2,1,3
53,53-Girls H/S Baramanga (Combined)(P),Baramanga Block.4,184050704,,,,649,374,1023,,,
"",,Baramanga Block 5,184050705,,,,165,90,255,,,
"",,"6-Baramanga Block6",184050706,,,,249,158,407,,,
"",,,Total:-,,,,1063,622,1685,2,1,3
54,"54-Girls P/S Chak Bahauddin (YousafPur) (Combined)(P)",Sunder Pur,184050801,,,,100,53,153,,,
"",,"Yousaf Pur ChakBahauddin.",184050811,,,,454,351,805,,,
"",,Panvan Joni Pur,184050812,,,,332,247,579,,,
55,55-Girls P/S Tajowal. (Combined)(P),Tajowal,184050802,,,,322,235,557,,,
"",,Hussain Pur,184050808,,,,165,124,289,,,
"",,3.Sabir Pur,184050803,,,,214,158,372,,,
"",,,Total:-,,,,701,517,1218,2,1,3
56,56-Boys H/S Bhajna (Combined)(P),Nangle,184050804,,,,353,236,589,,,
"",,Saleh Pur,184050805,,,,131,113,244,,,
"",,Bhajna,184050806,,,,297,261,558,,,
"",,Baberian,184050807,,,,256,194,450,,,
"",,,Total:-,,,,1037,804,1841,2,2,4
57,"57-Govt. P/S Dalley Nangal (Combined)(P)",Dalley Nangal,184050901,,,,425,295,720,,,
"",,Pannwan Khokhar,184050902,,,,100,53,153,,,
"",,Khosa,184050903,,,,108,97,205,,,
"",,,Total,,,,633,445,1078,1,1,2
58,58-Govt. E/S Kot Bhajjna (Male) (P),Chak Kotla Kahlwan,184051001,,,,361,,361,,,
"",,Kot Bhajjna,184051002,,,,358,,358,,,
"",,Chak Kotli Ram Das,184051003,,,,17,,17,,,
"",,Talwarha,184051004,,,,243,,243,,,
"",,Chajwal Jattan,184051005,,,,206,,206,,,
"",,Kotla Kahlwan,184051006,,,,67,,67,,,
"",,,Total,,,,1252,,1252,3,,3
59,59-Govt. E/S Kot Bhajjna (Female) (P),,,,,,,,,,,
"",,Chak Kotla Kahlwan,184051001,,,,,245,245,,,
"",,Kot Bhajjna,184051002,,,,,269,269,,,
"",,Chak Kotli Ram Das,184051003,,,,,11,11,,,
"",,Talwarha,184051004,,,,,166,166,,,
"",,Chajwal Jattan,184051005,,,,,151,151,,,
"",,Kotla Kahlwan,184051006,,,,,39,39,,,
"",,,Total,,,,,881,881,,2,2
60,60-Boys P/S Chak Qazian (Combined)(P),Sethiali,184051101,,,,281,232,513,,,
"",,Chak Qazian,184051103,,,,430,365,795,,,
"",,Chak Qazian,184051104,,,,165,145,310,,,
"",,,Total:-,,,,876,742,1618,2,2,4
61,61-Girls M/S Rangra. (Combined)(P),Rangra.,184051102,,,,547,432,979,,,
"",,Channi Dulo,184051107,,,,236,172,408,,,
"",,,Total:-,,,,783,604,1387,2,1,3
62,"62-Govt. Girls P/S Kotli Jattan(Combined)",Dadi Pur,184050605,,,,395,272,667,,,
"",,Kotli Jattan,184050606,,,,450,334,784,,,
"",,,Total:-,,,,845,606,1451,2,1,3
63,63-Girls P/S Achli. (Combined)(P),Kot Asalat,184051105,,,,234,159,393,,,
"",,Achli,184051106,,,,279,231,510,,,
"",,,Total:-,,,,513,390,903,1,1,2
64,64-Girls P/S Khan Pur (Combined)(P),Khan Pur(Guj),184051108,,,,782,588,1370,,,
"",,Bijli Pur,184070103,,,,249,151,400,,,
"",,,Total:-,,,,1031,739,1770,2,2,4
"",,,,,,,,,,,,
"",,Baira Gujran,184051205,,,,248,159,407,,,
"",,Nanowal,184051201,,,,183,113,296,,,
"",,Mamka Gujran,184051202,,,,117,84,201,,,
"",,,Total:-,,,,850,588,1438,2,1,3
66,"66-Govt. Girlss E/S Babra Gujran Gujran(Combined)(P)",Babra Gujrana,184051203,,,,492,363,855,,,
"",,Chawrian,184051204,,,,109,82,191,,,
"",,Meripur,184051207,,,,76,66,142,,,
"",,,Total:-,,,,677,511,1188,1,1,2
67,67-Boys M/S Bhekochak (Combined)(P),Bheko chak,184051301,,,,586,432,1018,,,
"",,,,,,,,,0,,,
"",,,Total:-,,,,586,432,1018,1,1,2
68,68-Boys P/S Noshera (Combined)(P),Noshera,184051302,,,,181,114,295,,,
"",,Nougaza,184051303,,,,387,230,617,,,
"",,,Total:-,,,,568,344,912,1,1,2
69,69-Boys E/S Fathepur Afghanan(Male)P),Fathepur(A),184051401,,,,501,,501,,,
"",,Fathepur(A),184051402,,,,500,,500,,,
"",,Fathepur(A),184051403,,,,230,,230,,,
"",,Odra,184051404,,,,543,,543,,,
"",,Saula,184051405,,,,229,,229,,,
"",,Sakrangian,184051406,,,,471,,471,,,
"",,Chak Kotli B.C,184051407,,,,0,,0,,,
"",,,Total:-,,,,2474,,2474,4,,4
70,70-Girls M/S Fatehpur(A) (Female)P),Fathepur(A),184051401,,,,,364,364,,,
"",,Fathepur(A),184051402,,,,,469,469,,,
"",,Fathepur(A),184051403,,,,,175,175,,,
"",,Odra,184051404,,,,,354,354,,,
"",,Saula,184051405,,,,,165,165,,,
"",,Sakrangian,184051406,,,,,322,322,,,
"",,Chak Kotli B.C,184051407,,,,,0,0,,,
"",,,Total:-,,,,,1849,1849,,3,3
71,71-Boys M/S Pindi Kalan (Combined)(P),Pindi Khurd,184051501,,,,230,120,350,,,
"",,Pindi Kalan,184051502,,,,623,504,1127,,,
"",,Chakra,184051503,,,,220,155,375,,,
"",,,Total:-,,,,1073,779,1852,2,2,4
72,72-Govt. Boys P/S Ghool (Combined) (P),Ghool,184060101,,,,531,387,918,,,
"",,Blaki Chak,184060102,,,,78,48,126,,,
"",,Bajo Chack B.c,184060103,,,,0,0,0,,,
"",,Miadi Mutto B.c,184060104,,,,66,49,115,,,
"",,Jurur B.c,184060105,,,,0,0,0,,,
"",,Muddoke,184060501,,,,82,28,110,,,
"",,Said Manjila  B.c,184060502,,,,0,0,0,,,
"",,Shah Khokhar B.c,184060503,,,,0,0,0,,,
"",,Gujar Toor    B.c,184060601,,,,0,0,0,,,
"",,Pairra   B.c,184060602,,,,0,0,0,,,
"",,Sajin Pur   B.c,184060603,,,,0,0,0,,,
"",,Auddah   B.c,184061501,,,,0,0,0,,,
"",,Ollia   B.c,184061502,,,,0,0,0,,,
"",,Bhopa   B.c,184061503,,,,0,0,0,,,
73,"73-Govt. Girls P/S Raniwal (Combined)(P)",Warraich,184060201,,,,138,72,210,,,
"",,panwan,184060202,,,,91,81,172,,,
"",,Malowal,184060204,,,,189,169,358,,,
"",,Lakara,184060205,,,,179,128,307,,,
"",,Raniwal,184060207,,,,489,376,865,,,
"",,,Total,,,,1086,826,1912,2,2,4
74,"74-Govt. Girls P/S Gungran (Combined)(P)",Chack Khalil,184060203,,,,217,171,388,,,
"",,Gungran,184060206,,,,377,284,661,,,
"",,,Total,,,,594,455,1049,1,1,2
75,"75-Govt. Boys E/S Doudda (Combined)(P)",Kot Bhutta   B.C,184060301,,,,0,0,0,,,
"",,Manjayke   B.C,184060302,,,,0,0,0,,,
"",,Buraj Tieko   B.C,184060303,,,,0,0,0,,,
"",,Khasa Wala   B.C,184060304,,,,0,0,0,,,
"",,Jaullo Ningal   B.C,184060305,,,,0,0,0,,,
"",,Pikho ke   B.C,184060306,,,,0,0,0,,,
"",,Sandu   B.C,184060307,,,,0,0,0,,,
"",,Qilla Amir   B.C,184060308,,,,0,0,0,,,
"",,Miadi Shaira  B.C,184060309,,,,0,0,0,,,
"",,Chab  B.C,184061601,,,,0,0,0,,,
"",,Nasir Din   B.C,184061602,,,,0,0,0,,,
"",,Auloke   B.C,184061603,,,,0,0,0,,,
"",,Rura B.C,184061604,,,,0,0,0,,,
"",,Rinsinke B.C,184061605,,,,0,0,0,,,
"",,Balla Toor B.C,184061606,,,,0,0,0,,,
"",,Mardanna  B.C,184061607,,,,0,0,0,,,
"",,Chak Manak,184061701,,,,112,75,187,,,
"",,Nanigli,184061702,,,,87,58,145,,,
"",,Doudda -1,184061703,,,,180,93,273,,,
"",,Doudda -2,184061704,,,,369,224,593,,,
"",,Doudda -3,184061705,,,,423,282,705,,,
"",,,Total,,,,1171,732,1903,2,2,4
76,"76-Govt. Girls H/S Bustan Afghanan(Male) (P)",Malik Afghanan,184060401,,,,275,,275,,,
"",,Tattarpur,184060402,,,,176,,176,,,
"",,Bustan Afghanan,184060403,,,,512,,512,,,
"",,Mustafa pur,184060404,,,,89,,89,,,
"",,Kattroowal,184060405,,,,119,,119,,,
77,"77-Govt. Girls H/S Bustan Afghanan(Female) (P)",,Total,,,,1171,,1171,2,,2
"",,Malik Afghanan,184060401,,,,,185,185,,,
"",,Tattarpur,184060402,,,,,127,127,,,
"",,Bustan Afghanan,184060403,,,,,396,396,,,
"",,Mustafa pur,184060404,,,,,78,78,,,
"",,Kattroowal,184060405,,,,,109,109,,,
"",,,Total,,,,,895,895,,2,2
78,78-Govt. H/S Gorala (Combined) (P),Mehmoon,184060701,,,,153,117,270,,,
"",,Jura,184060702,,,,130,88,218,,,
"",,Dumana Wali(BC),184060703,,,,0,0,0,,,
"",,Chak Shehzad,184060704,,,,8,4,12,,,
"",,Duraey,184060705,,,,102,73,175,,,
"",,Mala Grah pur,184060707,,,,179,111,290,,,
"",,s,184060708,,,,136,57,193,,,
"",,,Total,,,,1152,853,2005,2,2,4
79,79-Govt. Boys E/S Jattar (Combined) (P),Jattar,184060801,,,,382,252,634,,,
"",,Jattar,184060802,,,,400,250,650,,,
"",,Chanogwali,184060803,,,,329,225,554,,,
"",,,Total,,,,1111,727,1838,2,2,4
80,"80-Govt. Boys E/S Fateh pur Dittah.(Combined) (P)",Bheelowali,184060805,,,,369,253,622,,,
"",,Lahl,184060806,,,,162,104,266,,,
"",,Fateh pur Dittan,184060807,,,,487,342,829,,,
"",,,Total,,,,1018,699,1717,2,2,4
81,81-Govt. P/S Cheena  (Combined) (P),Cheena,184060804,,,,104,63,167,,,
"",,Naggal,184060808,,,,249,174,423,,,
"",,Laloo Kot,184060809,,,,309,199,508,,,
"",,Peara B.C,184061008,,,,113,90,203,,,
"",,Eesarwali,184061010,,,,125,62,187,,,
"",,,Total,,,,900,588,1488,2,1,3
82,82-Govt. Girls  P/S Mundi Khail (Male) (P),,,,,,,,,,,
"",,Mundi Khail,184060901,,,,533,,533,,,
"",,Mundi Khal,184060902,,,,290,,290,,,
"",,kotla Afghnan,184060904,,,,354,,354,,,
"",,Dara Afghana No.1,184060905,,,,41,,41,,,
"",,Dara Afghana No.2,184060906,,,,161,,161,,,
"",,,Total,,,,1379,,1379,3,,3
83,"83-Govt. Girls  P/S Mundi Khail (Female)(P)",Mundi Khail,184060901,,,,,421,421,,,
"",,Mundi Khal,184060902,,,,,227,227,,,
"",,kotla Afghnan,184060904,,,,,251,251,,,
"",,Dara Afghana No.1,184060905,,,,,24,24,,,
"",,Dara Afghana No.2,184060906,,,,,119,119,,,
"",,,Total,,,,,1042,1042,,2,2
"",,,,,,,,,,,,
84,84-Govt. Girls Primary School Bhatain,Kohlian B.C,184060903,,,,20,13,33,,,
"",,Bhatain,184061403,,,,302,190,492,,,
"",,Bhatain,184061404,,,,196,110,306,,,
"",,Bakar pur,184061405,,,,52,41,93,,,
"",,Kotli bary Khan,184060907,,,,134,99,233,,,
"",,,Total,,,,704,453,1157,1,1,2
85,"85-Govt. Boys P/S Meanwali (Combined)(P)",Kapure Dive,184061009,,,,112,73,185,,,
"",,Meanwali,184061011,,,,583,358,941,,,
"",,,Total,,,,695,431,1126,1,1,2
86,"86-Govt. Boys H/S Kanjrur (Combined)(P)",Kanjrur No.1.,184061001,,,,699,515,1214,,,
"",,Kanjrur No.2,184061002,,,,325,229,554,,,
"",,,Total,,,,1024,744,1768,2,2,4
"",,,,,,,,,,,,
87,87-Govt.H/S Boys Kanjrur(Male)  (P),Kanjrur No.3,184061003,,,,430,,430,,,
"",,Kanjrur No.5,184061005,,,,333,,333,,,
"",,Kanjrur No.6,184061006,,,,400,,400,,,
"",,,Total,,,,1163,0,1163,3,,3
"",,,,,,,,,,,,
88,88-Govt.H/S Boys Kanjrur(Female)  (P),Kanjrur No.3,184061003,,,,,337,337,,,
"",,Kanjrur No.5,184061005,,,,,257,257,,,
"",,Kanjrur No.6,184061006,,,,,308,308,,,
"",,,Total,,,,,902,902,,2,2
"",,,,,,,,,,,,
89,89-Govt. Girls H/S Kanjrur (Male)  (P),Kanjrur No.4,184061004,,,,334,,334,,,
"",,Kanjrur No.7,184061007,,,,1004,,1004,,,
"",,,Total,,,,1338,,1338,3,,3
90,90-Govt. Girls H/S Kanjrur (Female)  (P),Kanjrur No.4,184061004,,,,,277,277,,,
"",,Kanjrur No.7,184061007,,,,,777,777,,,
"",,,Total,,,,,1054,1054,,2,2
"",,,,,,,,,,,,
91,"91-Govt.Boys E/S Manzoor PuraPlot(Kotli Sootkan (Male)  (P)",Kotli Sootkan No.1,184061101,,,,82,,82,,,
"",,Kotli Sootkan No.2,184061105,,,,796,,,,,
"",,Kotli Sootkan No.2,184061102,,,,306,,306,,,
"",,,,,,,,,,,,
"",,,Total,,,,1184,,1184,3,,3
"",,,,,,,,,,,,
"",,,,,,,,,,,,
92,"92-Govt. Girls P/S Manzoor Pura Plotkotli Sootkan) (Female) (P)",Kotli Sootkan No.1,184061101,,,,,62,62,,,
"",,Kotli Sootkan No.2,184061105,,,,,577,577,,,
"",,Kotli Sootkan No.2,184061102,,,,,251,251,,,
"",,,,,,,,,,,,
"",,,Total,,,,,890,890,,2,2
93,"93-Govt.Boys E/S Manzoor PuraPlot(Kotli Sootkan (Combined) (P)",Kotli Sootkan No.3,184061103,,,,672,571,1243,,,
"",,Kotli Sootkan No.4,184061104,,,,263,202,465,,,
"",,,Total,,,,935,773,1708,2,2,4
94,94-Govt. P/S Girls Viram (Combined) (P),Manjey Toor,184061106,,,,400,255,655,,,
"",,Viram,184061107,,,,341,288,629,,,
"",,Bhanian,184061108,,,,258,183,441,,,
"",,Khanowali,184061109,,,,36,28,64,,,
"",,,Total,,,,1035,754,1789,2,1,3
"",,,,,,,,,,,,
95,"95-Govt. Girls P/S Marzee Wali(Combined) (P)",Katho wali,184061201,,,,144,100,244,,,
"",,Bebalwali,184061202,,,,115,76,191,,,
"",,Fareed Pur,184061203,,,,30,16,46,,,
"",,Muslmanian,184061204,,,,155,121,276,,,
"",,Achalwali,184061205,,,,198,152,350,,,
"",,Mirzae Wali,184061206,,,,416,285,701,,,
96,"96-Govt. Boys P/S Sultan pur(Combined) (P)",,Total,,,,1058,750,1808,2,1,3
"",,Sultanpur,184061301,,,,326,250,576,,,
"",,Kot Harsai,184061304,,,,170,132,302,,,
"",,Khotri Kalan,184061305,,,,15,15,30,,,
"",,Chak Sarwani B.C,184061306,,,,0,0,0,,,
"",,,Total,,,,511,397,908,1,1,2
97,"97-Govt. Girls High SchoolSattowal(Combined)(P)",Massriwal,184061302,,,,219,191,410,,,
"",,Mamiwal,184061303,,,,126,75,201,,,
"",,Sattowal,184061308,,,,301,262,563,,,
"",,,Total,,,,646,528,1174,1,1,2
98,"98-Govt.Boys P/S Mundialee Klan(Combined) (P)",Mandiala Khurd,184061402,,,,122,92,214,,,
"",,Mandialee Kalan,184061406,,,,499,382,881,,,
"",,Kotli Ram Das,184061410,,,,178,126,304,,,
"",,,Total,,,,799,600,1399,2,1,3
99,"99-Govt. Girls H/S Ali Langah(Combined) (P)",Farid key,184061401,,,,233,164,397,,,
"",,Langah -I,184061407,,,,510,357,867,,,
"",,,Total,,,,743,521,1264,2,1,3
"",,,,,,,,,,,,
100,"100-Govt. Boys H/S Langah (Combined)(P)",Langah -II,184061408,,,,592,366,958,,,
"",,Langah -III,184061409,,,,269,141,410,,,
"",,,Total,,,,861,507,1368,2,1,3
"",,,,,,,,,,,,
101,"101-Govt. Girls P/S Maan Pur(Combined) (P)",Maan pur,184061801,,,,270,197,467,,,
"",,Shazadda,184061802,,,,78,37,115,,,
"",,Mata Kalan,184061803,,,,75,39,114,,,
"",,Haji Pur,184061804,,,,237,156,393,,,
"",,Kaka Kotli,184061805,,,,92,67,159,,,
"",,,Total,,,,752,496,1248,2,1,3
102,102-Boys P/S Malu Salu. (Combined)(P),Anga(B.C),184070101,,,,26,25,51,,,
"",,Baqir Pur,184070104,,,,541,433,974,,,
"",,"Chak MaluSalu(B.C)",184070106,,,,0,0,0,,,
"",,,Total:-,,,,567,458,1025,1,1,2
"",,,,,,,,,,,,
103,103-Girls P/S Pharuwal (Combined)(P),Madda Afghanan,184070102,,,,304,207,511,,,
"",,Pharuwal,184070105,,,,205,165,370,,,
"",,,Total:-,,,,509,372,881,1,1,2
104,104-Boys H/S Bua (Combined)(P),Bua,184070107,,,,662,531,1193,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,662,531,1193,2,1,3
105,"105-Govt. Girls High School Bua (Combined)",Bua,184070108,,,,776,669,1445,,,
"",,,Total:-,,,,776,669,1445,2,2,4
106,106-Girls M/S Malu Salu (Combined)(P),Malu Salu,184070109,,,,473,442,915,,,
"",,Malu Salu,184070110,,,,323,243,566,,,
"",,,Total:-,,,,796,685,1481,2,1,3
107,107-Girls P/S Mehngra. (Combined)(P),Mehangra,184070201,,,,242,185,427,,,
"",,Mehangra,184070202,,,,588,462,1050,,,
"",,,Total:-,,,,830,647,1477,2,1,3
108,108-Girls P/S Natt. (Combined)(P),Maan,184070203,,,,366,301,667,,,
"",,Natt,184070210,,,,360,266,626,,,
109,109-Boys P/S Klair. (Combined)(P),Klair,184070204,,,,267,203,470,,,
"",,Jowaher Pur,184070206,,,,140,88,228,,,
"",,Chhima,184070209,,,,300,239,539,,,
"",,Yousaf Pur Khutti.,184070212,,,,296,209,505,,,
"",,,Total:-,,,,1003,739,1742,2,1,3
110,110-Girls P/S Jhun (Combined)(P),Sham Pur,184070205,,,,172,116,288,,,
"",,Chhani,184070207,,,,84,49,133,,,
"",,Jhun,184070208,,,,260,196,456,,,
"",,Ladher,184070211,,,,298,194,492,,,
"",,,Total:-,,,,814,555,1369,2,1,3
111,111-Girls P/S Landrah. (Combined)P),Landra.,184070301,,,,529,323,852,,,
"",,Sarwal.,184070302,,,,232,160,392,,,
"",,,Total:-,,,,761,483,1244,2,1,3
112,112-Boys E/S Kasana. (Combined) P),Kasana.,184070303,,,,511,388,899,,,
"",,Baman.,184070304,,,,144,103,247,,,
"",,,Total:-,,,,655,491,1146,2,1,3
113,"113-Girls P/S Pandori Dahonda.(Combined) P)",Kothra.,184070401,,,,84,44,128,,,
"",,Pandori Dhonda.,184070402,,,,709,507,1216,,,
"",,,Total:-,,,,793,551,1344,2,1,3
114,114-Girls P/S Jhangi. (Combined) P),Jhangi.,184070403,,,,376,293,669,,,
"",,Jhangi.,184070404,,,,320,203,523,,,
"",,,Total:-,,,,696,496,1192,2,1,3
115,115-Boys P/S Chora. (Combined) P),Chora.,184070501,,,,863,699,1562,,,
"",,,Total:-,,,,863,699,1562,2,2,4
116,116-Girls P/S Jeejowali. (Combined) P),Jeejowali,184070502,,,,344,257,601,,,
"",,Gamtali,184070503,,,,368,296,664,,,
"",,,Total:-,,,,712,553,1265,2,1,3
117,"117-Boys H/S Gamtala..(Male) P)",Gamtala,184070504,,,,658,,658,,,
"",,Gamtala,184070506,,,,696,,696,,,
"",,Gamtala,184070505,,,,499,,499,,,
"",,,Total:-,,,,1853,,1853,4,,4
118,118-Girls H/S Gamtala. (Female) P),Gamtala,184070504,,,,,590,590,,,
"",,Gamtala,184070506,,,,,531,531,,,
"",,Gamtala,184070505,,,,,342,342,,,
"",,,Total:-,,,,,1463,1463,0,3,3
119,119-Girls P/S Ladhial (Combined) P),,184070701,,,,617,450,1067,,,
